code,bhvneg,bhvpos,bhvnone
1.0,2.03,1.25,11.41
2.0,8.37,3.06,3.54
3.0,15.0,14.6,15.0
4.0,2.25,1.72,1.1
5.0,2.9,1.19,15.0
6.0,4.22,1.5,2.63
7.0,18.59,16.94,1.13
8.0,2.65,1.94,1.6
9.0,1.92,1.6,1.75
10.0,2.24,1.67,2.34
11.0,5.65,4.34,5.35
12.0,5.32,5.01,4.95
13.0,3.48,3.12,4.2
14.0,1.5,1.2,1.4
15.0,13.2,8.4,9.2
16.0,2.97,2.91,1.59
17.0,2.57,1.84,1.92
18.0,7.5,2.59,3.9
19.0,27.0,2.54,6.9
20.0,15.0,17.58,15.0
21.0,1.51,0.72,0.52
22.0,1.35,1.06,1.1
23.0,1.16,1.06,1.09
24.0,15.0,23.15,15.0
25.0,2.66,2.12,2.6
26.0,8.63,2.39,2.92
27.0,4.23,3.67,3.21
28.0,13.63,10.34,12.51
29.0,4.87,1.34,1.59
30.0,4.32,3.52,3.5
31.0,4.12,3.87,2.45
32.0,2.5,2.45,2.51
33.0,12.5,7.5,13.75
34.0,1.0,2.0,3.0
35.0,5.89,4.38,4.41
36.0,3.98,1.54,2.76
37.0,2.41,1.82,1.72
38.0,15.0,4.82,15.0
39.0,2.21,2.56,1.94
40.0,2.38,1.59,1.72
41.0,15.02,13.32,15.32
42.0,5.62,4.28,4.74
43.0,3.41,2.36,2.45
44.0,5.68,1.09,2.28
45.0,3.81,2.9,2.0
46.0,1.35,2.47,1.55
47.0,3.84,3.75,1.47
48.0,3.0,1.0,1.52
49.0,2.5,1.0,1.3
50.0,15.0,2.3,9.07
51.0,4.72,1.2,1.24
52.0,14.25,1.24,1.97
53.0,11.3,3.3,5.26
54.0,5.63,4.03,1.78
55.0,1.94,1.59,1.63
56.0,2.78,1.65,2.12
57.0,2.9,5.19,1.44
58.0,1.16,2.29,1.06
59.0,2.88,2.41,2.15
60.0,4.21,3.35,3.69
61.0,3.41,2.16,2.29
62.0,1.96,1.52,1.49
63.0,4.52,3.65,3.75
64.0,4.2,4.68,3.98
65.0,3.35,2.84,2.37
66.0,15.0,3.59,3.0
67.0,15.0,1.81,1.47
68.0,4.35,3.85,3.48
69.0,15.0,3.5,3.46
70.0,5.41,2.41,1.53
71.0,8.32,2.4,1.32
72.0,3.2,2.84,1.88
73.0,6.52,3.08,3.47
74.0,15.0,15.0,15.0
75.0,15.0,10.06,15.0
76.0,7.62,2.28,3.03
77.0,8.51,1.61,1.47
78.0,4.42,1.88,1.12
79.0,15.0,1.65,1.74
80.0,3.24,1.9,1.56
81.0,4.34,2.01,1.97
82.0,15.0,4.0,4.32
83.0,15.0,2.56,1.54
84.0,3.45,1.91,1.54
85.0,3.21,2.15,1.41
86.0,4.28,1.23,1.16
87.0,3.24,0.99,2.13
88.0,2.24,0.97,0.75
89.0,3.25,2.03,2.0
90.0,2.06,1.0,1.44
91.0,9.43,6.34,7.91
92.0,4.25,3.23,3.87
93.0,8.72,0.92,1.52
94.0,6.22,2.54,3.45
95.0,2.6,1.04,1.69
96.0,3.97,1.57,1.53
97.0,3.34,1.16,2.43
98.0,2.5,0.9,1.64
99.0,2.78,0.81,1.5
100.0,3.24,1.69,1.53
101.0,4.53,1.06,3.19
102.0,4.74,1.31,3.25
103.0,3.41,1.23,1.75
104.0,4.23,0.78,1.75
105.0,6.53,1.34,3.97
106.0,4.78,0.64,2.28
107.0,7.12,4.45,2.18
108.0,8.42,1.56,1.67
109.0,8.31,2.4,2.67
110.0,3.48,2.01,2.69
111.0,7.82,2.14,1.6
112.0,10.84,1.24,3.86
113.0,5.48,1.64,2.72
114.0,6.89,2.89,2.71
115.0,9.46,1.27,2.66
116.0,6.03,2.28,1.72
117.0,8.42,3.84,2.4
118.0,5.42,1.78,1.5
119.0,6.4,1.22,1.42
120.0,8.42,1.5,1.82
121.0,5.89,1.23,1.28
122.0,6.72,0.75,1.25
123.0,7.63,2.81,2.49
124.0,8.42,1.43,2.12
125.0,7.46,1.0,1.18
126.0,8.15,1.19,1.38
127.0,4.64,0.94,1.22
