WOMEN,STATBOOK
28.0,18.0
10.0,16.0
21.0,25.0
27.0,18.0
24.0,12.0
18.0,28.0
19.0,10.0
11.0,24.0
38.0,17.0
13.0,35.0
33.0,7.0
4.0,14.0
10.0,11.0
7.0,15.0
34.0,22.0
15.0,13.0
36.0,17.0
31.0,17.0
45.0,22.0
11.0,15.0
30.0,14.0
17.0,12.0
33.0,41.0
14.0,22.0
16.0,18.0
26.0,23.0
12.0,3.0
22.0,16.0
35.0,18.0
36.0,33.0
5.0,19.0
24.0,20.0
15.0,5.0
11.0,24.0
13.0,15.0
14.0,11.0
43.0,29.0
9.0,8.0
-2.0,38.0
19.0,9.0
18.0,31.0
12.0,6.0
26.0,3.0
23.0,23.0
10.0,22.0
25.0,14.0
22.0,11.0
14.0,7.0
25.0,17.0
10.0,32.0
18.0,22.0
16.0,-2.0
15.0,15.0
15.0,13.0
25.0,15.0
25.0,14.0
18.0,9.0
25.0,21.0
13.0,31.0
9.0,19.0
22.0,9.0
15.0,14.0
21.0,8.0
36.0,9.0
11.0,11.0
33.0,31.0
10.0,13.0
11.0,22.0
29.0,29.0
4.0,24.0
13.0,26.0
20.0,25.0
30.0,18.0
6.0,3.0
21.0,30.0
5.0,16.0
18.0,10.0
27.0,25.0
40.0,17.0
5.0,29.0
22.0,13.0
18.0,11.0
8.0,5.0
17.0,18.0
3.0,35.0
37.0,42.0
29.0,17.0
25.0,10.0
18.0,-2.0
8.0,12.0
22.0,24.0
16.0,23.0
18.0,10.0
25.0,9.0
2.0,35.0
7.0,24.0
16.0,13.0
13.0,6.0
27.0,0.0
24.0,13.0
20.0,28.0
36.0,11.0
20.0,8.0
24.0,30.0
31.0,24.0
15.0,17.0
14.0,2.0
19.0,28.0
27.0,11.0
11.0,9.0
24.0,15.0
28.0,19.0
26.0,12.0
8.0,13.0
-10.0,19.0
4.0,12.0
33.0,8.0
21.0,16.0
20.0,27.0
26.0,18.0
10.0,23.0
45.0,24.0
0.0,19.0
15.0,16.0
19.0,21.0
13.0,18.0
20.0,24.0
16.0,14.0
18.0,16.0
22.0,23.0
12.0,13.0
30.0,-3.0
12.0,12.0
7.0,29.0
27.0,31.0
25.0,3.0
20.0,18.0
11.0,13.0
22.0,19.0
16.0,23.0
31.0,30.0
32.0,20.0
27.0,25.0
38.0,18.0
18.0,9.0
34.0,25.0
5.0,10.0
35.0,24.0
23.0,13.0
43.0,15.0
7.0,7.0
19.0,9.0
28.0,35.0
30.0,25.0
39.0,27.0
8.0,18.0
6.0,12.0
9.0,22.0
23.0,23.0
27.0,23.0
15.0,22.0
26.0,18.0
18.0,12.0
43.0,7.0
34.0,16.0
30.0,-3.0
25.0,9.0
18.0,16.0
14.0,22.0
26.0,22.0
27.0,1.0
14.0,16.0
24.0,9.0
36.0,21.0
18.0,16.0
23.0,33.0
25.0,3.0
18.0,27.0
27.0,30.0
23.0,20.0
14.0,14.0
19.0,21.0
15.0,33.0
15.0,14.0
13.0,17.0
8.0,11.0
19.0,16.0
16.0,10.0
33.0,18.0
21.0,24.0
23.0,25.0
21.0,21.0
27.0,24.0
8.0,19.0
17.0,14.0
11.0,20.0
28.0,22.0
36.0,25.0
28.0,5.0
22.0,21.0
18.0,26.0
-18.0,30.0
20.0,20.0
11.0,7.0
29.0,24.0
-1.0,12.0
32.0,37.0
14.0,27.0
13.0,19.0
24.0,23.0
11.0,24.0
18.0,19.0
9.0,13.0
31.0,25.0
19.0,14.0
36.0,29.0
6.0,3.0
9.0,8.0
19.0,10.0
21.0,18.0
20.0,3.0
22.0,10.0
20.0,4.0
25.0,25.0
22.0,19.0
5.0,34.0
25.0,11.0
17.0,4.0
25.0,26.0
35.0,21.0
20.0,5.0
24.0,11.0
23.0,6.0
28.0,33.0
22.0,31.0
14.0,7.0
26.0,19.0
11.0,14.0
26.0,22.0
17.0,11.0
31.0,19.0
10.0,33.0
19.0,28.0
-3.0,10.0
26.0,34.0
2.0,9.0
21.0,22.0
20.0,20.0
18.0,26.0
14.0,4.0
25.0,22.0
23.0,29.0
6.0,-3.0
26.0,25.0
29.0,18.0
22.0,9.0
13.0,27.0
19.0,17.0
45.0,23.0
20.0,16.0
26.0,23.0
24.0,24.0
27.0,22.0
23.0,12.0
15.0,24.0
2.0,16.0
10.0,10.0
28.0,23.0
11.0,4.0
16.0,26.0
21.0,27.0
25.0,17.0
11.0,19.0
-1.0,3.0
45.0,23.0
18.0,14.0
38.0,30.0
23.0,31.0
13.0,12.0
43.0,19.0
9.0,23.0
35.0,21.0
29.0,11.0
4.0,7.0
23.0,23.0
21.0,39.0
13.0,36.0
24.0,24.0
21.0,24.0
16.0,14.0
3.0,19.0
16.0,19.0
20.0,7.0
28.0,22.0
10.0,20.0
24.0,19.0
4.0,20.0
28.0,13.0
30.0,23.0
35.0,16.0
30.0,27.0
28.0,13.0
18.0,12.0
21.0,20.0
18.0,7.0
22.0,24.0
44.0,26.0
11.0,18.0
21.0,22.0
7.0,16.0
32.0,28.0
12.0,20.0
23.0,24.0
17.0,20.0
30.0,17.0
23.0,29.0
20.0,17.0
15.0,1.0
20.0,11.0
25.0,28.0
21.0,14.0
15.0,9.0
16.0,19.0
-6.0,19.0
24.0,15.0
20.0,11.0
27.0,27.0
27.0,24.0
10.0,16.0
14.0,42.0
15.0,16.0
23.0,1.0
16.0,21.0
3.0,18.0
22.0,15.0
22.0,37.0
32.0,27.0
9.0,16.0
18.0,9.0
28.0,22.0
40.0,21.0
14.0,16.0
14.0,15.0
10.0,18.0
21.0,32.0
3.0,28.0
24.0,40.0
10.0,8.0
20.0,13.0
22.0,26.0
28.0,21.0
18.0,31.0
26.0,19.0
15.0,16.0
27.0,-8.0
28.0,8.0
26.0,24.0
-8.0,33.0
24.0,29.0
18.0,16.0
16.0,42.0
16.0,15.0
39.0,15.0
13.0,18.0
32.0,18.0
22.0,25.0
36.0,25.0
16.0,34.0
20.0,26.0
11.0,14.0
25.0,12.0
20.0,9.0
14.0,13.0
25.0,17.0
14.0,9.0
39.0,21.0
18.0,17.0
36.0,23.0
7.0,10.0
11.0,5.0
32.0,15.0
36.0,21.0
32.0,27.0
19.0,9.0
34.0,16.0
6.0,6.0
31.0,13.0
28.0,8.0
43.0,32.0
15.0,21.0
15.0,22.0
