MUSIC,AGE,LIKING
1.0,1.0,-84.0
1.0,1.0,-71.0
1.0,1.0,-74.0
1.0,1.0,-75.0
1.0,1.0,-98.0
1.0,1.0,-97.0
1.0,1.0,-75.0
1.0,1.0,-45.0
1.0,1.0,-73.0
1.0,1.0,-75.0
1.0,1.0,-75.0
1.0,1.0,-87.0
1.0,1.0,-49.0
1.0,1.0,-83.0
1.0,1.0,-77.0
2.0,1.0,24.0
2.0,1.0,30.0
2.0,1.0,80.0
2.0,1.0,75.0
2.0,1.0,72.0
2.0,1.0,60.0
2.0,1.0,42.0
2.0,1.0,90.0
2.0,1.0,55.0
2.0,1.0,60.0
2.0,1.0,87.0
2.0,1.0,56.0
2.0,1.0,54.0
2.0,1.0,74.0
2.0,1.0,40.0
3.0,1.0,69.0
3.0,1.0,92.0
3.0,1.0,76.0
3.0,1.0,76.0
3.0,1.0,81.0
3.0,1.0,51.0
3.0,1.0,27.0
3.0,1.0,91.0
3.0,1.0,97.0
3.0,1.0,83.0
3.0,1.0,56.0
3.0,1.0,66.0
3.0,1.0,122.0
3.0,1.0,62.0
3.0,1.0,65.0
1.0,2.0,96.0
1.0,2.0,69.0
1.0,2.0,61.0
1.0,2.0,39.0
1.0,2.0,94.0
1.0,2.0,71.0
1.0,2.0,62.0
1.0,2.0,62.0
1.0,2.0,38.0
1.0,2.0,69.0
1.0,2.0,40.0
1.0,2.0,45.0
1.0,2.0,86.0
1.0,2.0,93.0
1.0,2.0,68.0
2.0,2.0,65.0
2.0,2.0,86.0
2.0,2.0,37.0
2.0,2.0,59.0
2.0,2.0,49.0
2.0,2.0,59.0
2.0,2.0,42.0
2.0,2.0,88.0
2.0,2.0,92.0
2.0,2.0,41.0
2.0,2.0,64.0
2.0,2.0,73.0
2.0,2.0,66.0
2.0,2.0,73.0
2.0,2.0,68.0
3.0,2.0,-54.0
3.0,2.0,-56.0
3.0,2.0,-97.0
3.0,2.0,-40.0
3.0,2.0,-65.0
3.0,2.0,-88.0
3.0,2.0,-77.0
3.0,2.0,-52.0
3.0,2.0,-54.0
3.0,2.0,-118.0
3.0,2.0,-41.0
3.0,2.0,-84.0
3.0,2.0,-66.0
3.0,2.0,-77.0
3.0,2.0,-103.0
