ticknumb,change,music,Crusty,Metaller,Indie_Kid
2111.0,-1.0399999999999998,2.0,0.0,1.0,0.0
2229.0,-0.6799999999999999,3.0,1.0,0.0,0.0
2338.0,,4.0,,,
2384.0,,3.0,,,
2401.0,,4.0,,,
2405.0,,3.0,,,
2467.0,,1.0,,,
2478.0,,1.0,,,
2490.0,,3.0,,,
2504.0,-0.56,4.0,0.0,0.0,0.0
2509.0,,4.0,,,
2510.0,-0.35,3.0,1.0,0.0,0.0
2514.0,,2.0,,,
2515.0,-0.17999999999999994,4.0,0.0,0.0,0.0
2520.0,,4.0,,,
2521.0,,3.0,,,
2529.0,,3.0,,,
2533.0,,2.0,,,
2535.0,,2.0,,,
2538.0,,4.0,,,
2549.0,-1.41,3.0,1.0,0.0,0.0
2551.0,,4.0,,,
2558.0,,4.0,,,
2562.0,,4.0,,,
2565.0,,1.0,,,
2566.0,,4.0,,,
2568.0,,3.0,,,
2586.0,,2.0,,,
2601.0,,3.0,,,
2602.0,-0.20999999999999996,1.0,0.0,0.0,1.0
2604.0,-2.55,3.0,1.0,0.0,0.0
2606.0,,3.0,,,
2609.0,,3.0,,,
2611.0,,4.0,,,
2612.0,-0.27,4.0,0.0,0.0,0.0
2616.0,,3.0,,,
2624.0,-1.12,4.0,0.0,0.0,0.0
2633.0,,3.0,,,
2642.0,,4.0,,,
2644.0,,4.0,,,
2662.0,,2.0,,,
2663.0,,3.0,,,
2664.0,,4.0,,,
2669.0,,4.0,,,
2670.0,,2.0,,,
2675.0,,4.0,,,
2676.0,,2.0,,,
2677.0,-1.1400000000000001,1.0,0.0,0.0,1.0
2681.0,,4.0,,,
2685.0,,4.0,,,
2686.0,,4.0,,,
2687.0,,2.0,,,
2688.0,,1.0,,,
2689.0,-0.32999999999999996,4.0,0.0,0.0,0.0
2692.0,-2.0900000000000003,1.0,0.0,0.0,1.0
2698.0,,3.0,,,
2709.0,,1.0,,,
2710.0,,4.0,,,
2712.0,,2.0,,,
2726.0,,2.0,,,
2727.0,,4.0,,,
2728.0,,2.0,,,
2730.0,,4.0,,,
2731.0,,3.0,,,
2732.0,,4.0,,,
2734.0,,4.0,,,
2735.0,-1.47,4.0,0.0,0.0,0.0
2736.0,,4.0,,,
2737.0,,4.0,,,
2748.0,,4.0,,,
2752.0,,2.0,,,
2756.0,,4.0,,,
2758.0,,1.0,,,
2759.0,,4.0,,,
2768.0,,4.0,,,
2769.0,,4.0,,,
2770.0,,2.0,,,
2771.0,,4.0,,,
2772.0,,3.0,,,
2773.0,,1.0,,,
2775.0,,4.0,,,
2779.0,,4.0,,,
2780.0,,3.0,,,
2783.0,-0.8000000000000003,3.0,1.0,0.0,0.0
2784.0,,2.0,,,
2788.0,,4.0,,,
2789.0,,3.0,,,
2791.0,,3.0,,,
2794.0,,3.0,,,
2796.0,,2.0,,,
2799.0,,4.0,,,
2806.0,,2.0,,,
2807.0,,4.0,,,
2811.0,,2.0,,,
2812.0,,1.0,,,
2813.0,,1.0,,,
2814.0,,4.0,,,
2825.0,-1.52,3.0,1.0,0.0,0.0
2827.0,,2.0,,,
2828.0,-0.7900000000000003,3.0,1.0,0.0,0.0
2829.0,,3.0,,,
2830.0,,2.0,,,
2831.0,-0.20999999999999996,4.0,0.0,0.0,0.0
2839.0,,4.0,,,
2842.0,,2.0,,,
2857.0,,2.0,,,
2858.0,,4.0,,,
2859.0,,4.0,,,
2862.0,,3.0,,,
2863.0,0.10000000000000009,4.0,0.0,0.0,0.0
2875.0,,2.0,,,
2876.0,,2.0,,,
2883.0,,1.0,,,
2890.0,,4.0,,,
2894.0,,3.0,,,
2895.0,,4.0,,,
2897.0,,4.0,,,
2898.0,,1.0,,,
2899.0,,4.0,,,
2900.0,,3.0,,,
2901.0,,3.0,,,
2920.0,,4.0,,,
2921.0,,1.0,,,
2922.0,,4.0,,,
2923.0,,4.0,,,
2924.0,,4.0,,,
2925.0,,2.0,,,
2932.0,,2.0,,,
2933.0,,4.0,,,
2935.0,,3.0,,,
2936.0,,4.0,,,
2937.0,,4.0,,,
2938.0,0.30000000000000004,4.0,0.0,0.0,0.0
2940.0,,3.0,,,
2941.0,-0.5299999999999998,4.0,0.0,0.0,0.0
2942.0,,1.0,,,
2948.0,,1.0,,,
2952.0,,2.0,,,
2953.0,,4.0,,,
2954.0,,3.0,,,
2956.0,,3.0,,,
2957.0,,2.0,,,
2958.0,,2.0,,,
2959.0,,3.0,,,
2961.0,,4.0,,,
2962.0,,2.0,,,
2964.0,,2.0,,,
2966.0,,1.0,,,
2967.0,,2.0,,,
2968.0,,4.0,,,
2972.0,,2.0,,,
2974.0,,2.0,,,
2975.0,1.0400000000000003,4.0,0.0,0.0,0.0
2976.0,,2.0,,,
2977.0,,4.0,,,
2978.0,,1.0,,,
2979.0,,4.0,,,
2982.0,,4.0,,,
2983.0,,1.0,,,
2984.0,,4.0,,,
2985.0,,2.0,,,
2988.0,,3.0,,,
2989.0,-1.5899999999999999,1.0,0.0,0.0,1.0
2990.0,-1.0299999999999998,4.0,0.0,0.0,0.0
3008.0,-1.12,4.0,0.0,0.0,0.0
3009.0,,1.0,,,
3010.0,,3.0,,,
3013.0,,4.0,,,
3014.0,,3.0,,,
3016.0,,2.0,,,
3017.0,,2.0,,,
3018.0,,4.0,,,
3019.0,,3.0,,,
3027.0,,2.0,,,
3028.0,,3.0,,,
3029.0,,3.0,,,
3030.0,,4.0,,,
3031.0,,1.0,,,
3032.0,,3.0,,,
3033.0,,3.0,,,
3034.0,,4.0,,,
3035.0,,4.0,,,
3048.0,,2.0,,,
3049.0,,3.0,,,
3051.0,,3.0,,,
3052.0,,3.0,,,
3053.0,,3.0,,,
3054.0,,1.0,,,
3055.0,,2.0,,,
3056.0,,1.0,,,
3057.0,-1.24,4.0,0.0,0.0,0.0
3064.0,,4.0,,,
3065.0,,4.0,,,
3068.0,,2.0,,,
3069.0,,3.0,,,
3070.0,,3.0,,,
3072.0,,3.0,,,
3073.0,,4.0,,,
3092.0,,2.0,,,
3093.0,,2.0,,,
3094.0,,2.0,,,
3095.0,-2.38,4.0,0.0,0.0,0.0
3096.0,,1.0,,,
3097.0,,1.0,,,
3098.0,,4.0,,,
3100.0,,3.0,,,
3106.0,,4.0,,,
3107.0,,3.0,,,
3109.0,,1.0,,,
3111.0,,2.0,,,
3112.0,,4.0,,,
3114.0,,1.0,,,
3116.0,,3.0,,,
3118.0,,2.0,,,
3129.0,,4.0,,,
3131.0,,3.0,,,
3132.0,,4.0,,,
3133.0,,3.0,,,
3135.0,,4.0,,,
3136.0,,2.0,,,
3137.0,,2.0,,,
3138.0,,3.0,,,
3139.0,,3.0,,,
3146.0,,2.0,,,
3147.0,,4.0,,,
3148.0,,4.0,,,
3168.0,,1.0,,,
3171.0,,4.0,,,
3172.0,,4.0,,,
3173.0,-0.6200000000000001,4.0,0.0,0.0,0.0
3180.0,,4.0,,,
3182.0,,4.0,,,
3190.0,,3.0,,,
3192.0,,3.0,,,
3202.0,,4.0,,,
3236.0,,3.0,,,
3245.0,,3.0,,,
3246.0,0.3500000000000001,4.0,0.0,0.0,0.0
3247.0,,4.0,,,
3248.0,,4.0,,,
3249.0,-0.6400000000000001,4.0,0.0,0.0,0.0
3250.0,,3.0,,,
3251.0,,4.0,,,
3253.0,,1.0,,,
3254.0,,4.0,,,
3255.0,,2.0,,,
3256.0,,2.0,,,
3257.0,,4.0,,,
3258.0,,4.0,,,
3260.0,,2.0,,,
3261.0,,4.0,,,
3262.0,,2.0,,,
3264.0,,4.0,,,
3267.0,0.7899999999999999,2.0,0.0,1.0,0.0
3273.0,,4.0,,,
3275.0,,2.0,,,
3276.0,,3.0,,,
3277.0,,2.0,,,
3278.0,,1.0,,,
3279.0,,3.0,,,
3281.0,,4.0,,,
3282.0,-1.21,3.0,1.0,0.0,0.0
3284.0,,2.0,,,
3290.0,,3.0,,,
3291.0,,2.0,,,
3292.0,,2.0,,,
3296.0,,2.0,,,
3306.0,0.3599999999999999,3.0,1.0,0.0,0.0
