Strategy,att_high,av_high,ug_high,att_some,av_some,ug_some,att_none,av_none,ug_none
1.0,86.0,84.0,67.0,88.0,69.0,50.0,97.0,48.0,47.0
1.0,91.0,83.0,53.0,83.0,74.0,48.0,86.0,50.0,46.0
1.0,89.0,88.0,48.0,99.0,70.0,48.0,90.0,45.0,48.0
1.0,89.0,69.0,58.0,86.0,77.0,40.0,87.0,47.0,53.0
1.0,80.0,81.0,57.0,88.0,71.0,50.0,82.0,50.0,45.0
1.0,80.0,84.0,51.0,96.0,63.0,42.0,92.0,48.0,43.0
1.0,89.0,85.0,61.0,87.0,79.0,44.0,86.0,50.0,45.0
1.0,100.0,94.0,56.0,86.0,71.0,54.0,84.0,54.0,47.0
1.0,90.0,74.0,54.0,92.0,71.0,58.0,78.0,38.0,45.0
1.0,89.0,86.0,63.0,80.0,73.0,49.0,91.0,48.0,39.0
0.0,89.0,91.0,93.0,88.0,65.0,54.0,55.0,48.0,52.0
0.0,84.0,90.0,85.0,95.0,70.0,60.0,50.0,44.0,45.0
0.0,99.0,100.0,89.0,80.0,79.0,53.0,51.0,48.0,44.0
0.0,86.0,89.0,83.0,86.0,74.0,58.0,52.0,48.0,47.0
0.0,89.0,87.0,80.0,83.0,74.0,43.0,58.0,50.0,48.0
0.0,80.0,81.0,79.0,86.0,59.0,47.0,51.0,47.0,40.0
0.0,82.0,92.0,85.0,81.0,66.0,47.0,50.0,45.0,47.0
0.0,97.0,69.0,87.0,95.0,72.0,51.0,45.0,48.0,46.0
0.0,95.0,92.0,90.0,98.0,64.0,53.0,54.0,53.0,45.0
0.0,95.0,93.0,96.0,79.0,66.0,46.0,52.0,39.0,47.0
