Age,Gossip,Mate_Value
24.0,,
24.0,1.0625,2.888888888888889
47.0,1.3125,2.7777777777777777
49.0,2.25,1.1111111111111112
50.0,1.0,3.2222222222222223
50.0,1.0,1.4444444444444444
50.0,1.0,1.6666666666666667
21.0,5.0,4.777777777777778
21.0,5.0,5.0
24.0,3.857142857142857,5.0
46.0,2.125,3.111111111111111
24.0,3.9375,4.0
49.0,1.375,1.0
20.0,3.375,3.7777777777777777
20.0,3.625,3.7777777777777777
20.0,3.0,3.5555555555555554
46.0,2.875,2.5555555555555554
20.0,3.5625,3.7777777777777777
22.0,3.625,2.3333333333333335
23.0,3.4375,3.7777777777777777
20.0,3.5625,3.7777777777777777
22.0,2.75,2.4444444444444446
45.0,1.375,4.0
50.0,3.0,2.888888888888889
23.0,2.3125,1.7777777777777777
25.0,1.5625,3.2222222222222223
46.0,2.0625,3.2222222222222223
50.0,2.8125,3.4444444444444446
22.0,1.4375,3.4444444444444446
24.0,2.625,2.4444444444444446
25.0,2.875,3.5555555555555554
20.0,1.75,3.3333333333333335
21.0,1.125,2.7777777777777777
23.0,2.1875,2.4444444444444446
23.0,1.875,1.4444444444444444
24.0,3.0625,3.111111111111111
46.0,1.9375,2.888888888888889
20.0,3.0625,3.4444444444444446
20.0,1.625,3.6666666666666665
20.0,1.1875,2.5555555555555554
20.0,2.1875,3.2222222222222223
21.0,1.1875,4.111111111111111
21.0,2.875,3.5555555555555554
21.0,2.375,1.0
21.0,2.0,2.2222222222222223
22.0,1.8,3.7777777777777777
22.0,1.375,2.6666666666666665
24.0,2.6875,3.111111111111111
25.0,1.0,1.7777777777777777
25.0,1.3125,3.5555555555555554
25.0,3.0625,3.0
25.0,1.0625,2.7777777777777777
25.0,1.25,2.2222222222222223
25.0,2.5,3.0
45.0,3.0,3.6666666666666665
46.0,3.25,2.4444444444444446
46.0,2.0,2.5555555555555554
48.0,1.1875,2.5555555555555554
50.0,1.0,1.2222222222222223
50.0,2.5,3.111111111111111
50.0,1.0625,2.7777777777777777
50.0,2.4375,
50.0,3.0,1.8888888888888888
50.0,1.0,2.0
20.0,3.9375,3.111111111111111
20.0,2.3125,3.4444444444444446
20.0,2.625,3.4444444444444446
20.0,3.0,3.7777777777777777
21.0,2.375,2.6666666666666665
23.0,2.625,3.5555555555555554
25.0,1.875,3.4444444444444446
47.0,1.3125,3.2222222222222223
48.0,1.125,1.7777777777777777
20.0,3.25,2.888888888888889
20.0,1.3125,2.888888888888889
22.0,3.0,3.111111111111111
25.0,1.1875,4.111111111111111
25.0,1.0625,2.888888888888889
24.0,1.0,2.5555555555555554
25.0,1.0,2.6666666666666665
50.0,1.75,3.3333333333333335
20.0,2.375,3.888888888888889
20.0,1.125,4.0
