ID,Grade,Age,Gender,NEO_FFI,NPQC_R,FB_Status,FB_Profile_TOT
2.0,1.0,13.0,1.0,40.0,31.0,1.0,8.0
3.0,1.0,13.0,1.0,39.0,37.0,1.0,8.0
4.0,1.0,13.0,1.0,38.0,16.0,0.06,
5.0,1.0,13.0,1.0,26.0,26.0,0.0,
6.0,1.0,13.0,1.0,51.0,44.47,1.0,12.0
7.0,1.0,13.0,1.0,44.0,30.0,0.25,10.0
8.0,1.0,13.0,0.0,38.0,28.0,,14.0
9.0,1.0,13.0,0.0,46.0,23.0,,
10.0,1.0,13.0,1.0,38.0,15.0,0.02,
11.0,1.0,13.0,1.0,58.0,55.0,7.0,
12.0,1.0,13.0,0.0,39.0,21.0,0.0,
14.0,1.0,13.0,1.0,46.0,41.0,1.0,
15.0,1.0,13.0,1.0,48.0,42.0,3.5,20.0
16.0,1.0,13.0,0.0,36.76,23.47,,12.0
17.0,1.0,13.0,0.0,30.0,28.0,0.5,7.0
18.0,1.0,13.0,0.0,26.0,29.0,1.0,
19.0,1.0,13.0,0.0,42.0,15.0,0.25,
20.0,1.0,13.0,0.0,49.0,44.0,1.0,12.0
22.0,1.0,13.0,1.0,41.0,27.0,0.25,
24.0,1.0,13.0,1.0,29.0,30.0,7.0,
25.0,1.0,13.0,0.0,57.0,40.0,1.0,15.0
26.0,1.0,13.0,0.0,39.0,32.46,3.5,12.0
27.0,1.0,13.0,1.0,35.0,24.0,0.0,8.0
28.0,1.0,13.0,1.0,40.0,38.0,7.0,13.0
29.0,1.0,13.0,1.0,32.0,19.0,0.0,12.0
30.0,1.0,13.0,1.0,48.76,32.0,1.0,
31.0,1.0,13.0,1.0,36.0,22.0,7.0,12.0
32.0,1.0,13.0,1.0,47.0,48.0,0.0,12.0
34.0,1.0,13.0,1.0,31.0,24.0,0.0,
36.0,1.0,13.0,0.0,49.0,36.0,0.25,
37.0,1.0,13.0,1.0,40.0,22.0,1.0,4.0
38.0,1.0,13.0,0.0,35.0,26.0,1.0,9.0
39.0,1.0,13.0,0.0,60.0,33.0,7.0,12.0
41.0,1.0,13.0,0.0,38.0,26.0,,12.0
42.0,1.0,13.0,0.0,37.0,22.0,,13.0
43.0,1.0,13.0,0.0,50.0,31.0,7.0,12.0
44.0,1.0,13.0,0.0,43.0,50.0,7.0,17.0
45.0,1.0,13.0,1.0,37.0,39.0,1.0,
46.0,1.0,13.0,0.0,46.0,37.0,7.0,13.0
48.0,1.0,13.0,1.0,47.0,24.0,0.5,
56.0,2.0,14.0,1.0,37.0,38.0,0.25,
57.0,2.0,14.0,0.0,43.0,26.0,2.33,
58.0,2.0,14.0,,42.0,29.0,0.0,
61.0,2.0,14.0,1.0,40.0,42.0,7.0,
62.0,2.0,14.0,0.0,51.0,30.0,0.5,9.0
63.0,2.0,14.0,0.0,43.0,33.0,0.5,14.0
64.0,2.0,14.0,0.0,45.0,42.52,1.0,
65.0,2.0,14.0,0.0,50.0,38.0,1.0,13.0
