quiet_pos1,quiet_pos2,quiet_pos3,quiet_pos4,quiet_pos5,quiet_pos6,quiet_pos7,quiet_pos8,liked_pos1,liked_pos2,liked_pos3,liked_pos4,liked_pos5,liked_pos6,liked_pos7,liked_pos8,disliked_pos1,disliked_pos2,disliked_pos3,disliked_pos4,disliked_pos5,disliked_pos6,disliked_pos7,disliked_pos8
0.8,0.6,0.7,0.1,0.1,0.1,0.2,0.4,0.9,0.4,0.2,0.0,0.0,0.1,0.2,0.4,0.8,0.7,0.4,0.1,0.1,0.1,0.5,0.8
0.9,0.6,0.6,0.3,0.4,0.2,0.1,0.2,0.6,0.3,0.5,0.2,0.2,0.1,0.2,0.3,0.8,0.4,0.3,0.2,0.1,0.1,0.2,0.2
0.9,0.9,0.9,0.8,0.8,0.7,0.6,0.9,0.8,0.7,0.5,0.5,0.3,0.3,0.1,0.0,0.8,1.0,0.9,0.9,0.8,0.8,0.8,0.7
0.8,0.5,0.6,0.8,0.3,0.5,0.3,0.5,0.6,0.6,0.0,0.1,0.2,0.1,0.1,0.2,0.9,0.8,0.8,0.6,0.6,0.1,0.2,0.1
1.8,0.3,0.1,0.2,0.3,0.4,0.8,0.8,0.7,0.5,0.2,1.1,0.2,0.2,0.5,0.7,0.3,0.2,0.2,0.2,0.5,0.7,0.7,0.8
0.9,0.9,0.8,0.7,0.7,0.7,0.4,0.5,1.7,0.7,0.6,0.5,0.3,0.3,0.2,0.9,0.9,0.6,0.5,0.6,0.2,0.3,0.4,0.3
0.9,0.9,0.7,0.7,0.8,0.7,0.6,0.7,0.9,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.9,0.7,0.7,0.7,0.7,0.7,0.9,0.8
1.0,1.0,0.9,0.7,0.4,0.5,0.3,0.2,0.8,0.7,0.5,0.4,0.1,0.1,0.5,0.5,0.7,0.6,0.7,0.7,0.4,0.3,0.4,0.1
0.8,0.9,0.9,0.7,0.7,0.7,0.7,0.7,1.0,0.8,0.6,0.5,0.6,0.6,0.4,0.3,0.9,0.9,0.5,0.6,0.6,0.6,0.5,0.4
0.8,0.6,0.6,0.5,0.3,0.5,0.3,0.5,0.6,1.4,0.5,0.5,0.5,0.4,0.6,0.4,0.8,0.7,0.5,0.7,0.6,0.5,0.4,0.4
0.8,0.8,0.7,0.5,0.3,0.3,0.6,0.4,0.9,0.4,0.2,0.2,0.2,0.1,0.2,0.1,1.0,0.4,0.5,0.2,0.3,0.2,0.2,0.1
0.9,0.8,0.6,0.3,0.4,0.5,0.3,0.5,1.0,0.8,0.5,0.4,0.4,0.1,0.5,0.6,0.8,0.5,0.7,0.3,0.1,0.0,0.4,0.6
1.0,0.9,1.0,1.0,0.8,0.6,0.5,0.7,0.9,0.7,0.5,0.4,0.3,0.1,0.1,0.2,1.0,0.8,0.8,0.6,0.6,0.6,0.4,0.4
1.0,0.9,0.7,0.3,0.4,0.3,0.4,0.3,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.8,1.0,1.0,0.7,0.6,0.9,0.7,0.7,0.8
0.9,0.9,1.0,0.9,0.9,0.7,0.8,0.7,0.9,0.9,1.0,0.8,0.7,0.9,0.8,0.6,1.0,1.0,0.8,0.7,0.9,0.8,0.9,0.9
0.8,0.7,0.4,0.5,0.5,0.2,0.3,0.1,0.9,0.8,0.5,0.4,0.8,0.1,0.2,0.4,1.0,0.9,0.9,0.9,0.9,0.4,0.2,0.4
1.0,0.9,0.9,0.6,0.5,0.4,0.3,0.2,0.6,0.5,0.0,0.1,0.1,0.2,0.2,0.3,1.0,0.7,0.5,0.2,0.2,0.2,0.5,0.3
0.9,0.8,0.5,0.3,0.2,0.4,0.6,0.5,1.6,0.4,0.2,0.2,0.3,0.3,0.2,0.4,0.6,0.4,0.5,0.4,0.4,0.1,0.3,0.3
0.9,0.8,0.8,0.7,0.8,0.7,0.7,0.6,0.8,0.6,0.3,0.3,0.1,0.5,0.7,0.7,0.7,0.7,0.2,0.4,0.5,0.6,0.6,0.6
0.9,0.9,0.9,1.0,0.9,0.9,0.8,0.8,1.0,0.6,0.7,0.6,0.3,0.3,0.1,0.7,0.9,0.8,0.7,0.4,0.0,0.5,0.5,0.8
0.8,0.8,0.7,0.8,0.6,0.6,1.0,0.9,0.1,0.1,0.2,0.1,0.2,0.2,0.0,0.2,0.7,0.7,0.5,0.6,0.4,0.5,1.0,0.9
0.6,0.3,0.4,0.3,0.3,0.0,0.0,0.2,0.8,0.5,0.3,0.1,0.0,0.0,0.1,0.2,1.0,0.5,0.2,0.1,0.2,0.1,0.0,0.1
0.7,0.6,0.6,0.8,0.6,0.7,0.5,0.9,0.8,0.3,0.1,0.4,0.4,0.2,0.3,0.3,1.0,0.7,0.5,0.7,0.6,0.3,0.3,0.2
0.9,0.9,0.7,0.4,0.6,0.4,0.5,0.6,1.0,0.9,0.3,0.3,0.4,0.2,0.2,0.6,0.9,0.7,0.6,0.6,0.3,0.5,0.5,0.7
0.8,0.6,0.6,0.7,0.9,0.7,0.5,0.6,0.8,0.7,0.3,0.2,0.2,0.2,0.1,0.6,0.9,0.9,0.5,0.5,0.6,0.4,0.3,0.8
