Social_media_use,Baseline,Six_months
1.0,52.0,32.0
1.0,68.0,48.0
1.0,85.0,62.0
1.0,47.0,16.0
1.0,73.0,63.0
1.0,57.0,53.0
1.0,63.0,59.0
1.0,50.0,58.0
1.0,66.0,59.0
1.0,60.0,57.0
1.0,51.0,60.0
1.0,72.0,56.0
1.0,77.0,61.0
1.0,57.0,52.0
1.0,79.0,9.0
1.0,75.0,76.0
1.0,53.0,38.0
1.0,72.0,63.0
1.0,62.0,53.0
1.0,71.0,61.0
1.0,53.0,50.0
1.0,64.0,78.0
1.0,79.0,33.0
1.0,75.0,68.0
1.0,60.0,59.0
2.0,65.0,62.0
2.0,57.0,50.0
2.0,66.0,62.0
2.0,71.0,61.0
2.0,75.0,70.0
2.0,61.0,64.0
2.0,80.0,64.0
2.0,66.0,55.0
2.0,53.0,47.0
2.0,62.0,61.0
2.0,61.0,56.0
2.0,77.0,64.0
2.0,66.0,62.0
2.0,52.0,47.0
2.0,60.0,56.0
2.0,58.0,78.0
2.0,54.0,74.0
2.0,72.0,61.0
2.0,71.0,61.0
2.0,87.0,78.0
2.0,75.0,62.0
2.0,57.0,71.0
2.0,59.0,55.0
2.0,46.0,46.0
2.0,89.0,79.0
