"X1","X2","X3"
1.3,0,0
2.26,15,0
2.25,18,0
2.06,15,0
2.06,18,0
1.85,17,0
1.23,21,0
1.23,24,0
0.89,21,0
0.89,24,0
0.4,29,0
0.47,36,0
0.07,29,0
0.24,36,0
-0.81,26,0
-1.19,32,0
-1.18,35,0
-0.97,35,0
-0.78,43,0
-1.03,44,0
-1.14,43,0
-1.36,43,0
-1.39,44,0
-0.92,53,0
-1.11,53,0
-1.19,50,0
-1.39,50,0
-1.55,53,0
-1.73,53,0
-1.83,59,0
-1.91,59,0
-2.05,63,0
-1.04,63,0
-0.92,65,0
-1.58,65,0
-1.61,71,0
-1.91,71,0
-2.13,79,0
-2.21,79,0
-2.73,76,0
-3.61,76,0
-0.89,88,0
-1.61,89,0
-1.8,89,0
-2.4,93,0
-3.31,99,0
-2.69,99,0
-2.54,99,0
-2.29,99,0
-2.02,99,0
-1.72,99,0
-1.52,99,0
-1.39,99,0
-1.06,99,0
2.47,10,1
2.33,13,1
2.11,13,1
2,11,1
1.83,11,1
1.92,18,1
1.71,15,1
1.53,18,1
1.42,19,1
1.23,19,1
0.68,19,1
0.75,22,1
0.06,22,1
-0.01,26,1
-0.22,22,1
-0.28,26,1
-0.42,29,1
-0.77,26,1
-0.97,32,1
-1.11,31,1
-1.11,39,1
-1.61,46,1
-1.8,46,1
-2.28,60,1
-2.43,60,1
-1.61,29,1
-2.58,38,1
-2.9,38,1
-2.9,51,1
-3.12,51,1
