DRYW,PH,NI,H2O
1.28,1.0,1.0,1.0
0.83,1.0,1.0,2.0
1.03,1.0,1.0,2.0
1.42,1.0,1.0,2.0
1.33,1.0,1.0,3.0
1.49,1.0,1.0,3.0
1.81,1.0,1.0,3.0
1.3,1.0,1.0,4.0
1.17,1.0,1.0,4.0
1.43,1.0,2.0,1.0
2.05,1.0,2.0,1.0
1.34,1.0,2.0,1.0
1.72,1.0,2.0,2.0
1.47,1.0,2.0,2.0
1.4,1.0,2.0,3.0
1.58,1.0,2.0,3.0
1.65,1.0,2.0,3.0
1.41,1.0,2.0,4.0
1.17,1.0,2.0,4.0
2.05,1.0,3.0,1.0
1.89,1.0,3.0,2.0
2.04,1.0,3.0,2.0
2.2,1.0,3.0,3.0
3.06,1.0,3.0,3.0
2.85,1.0,3.0,3.0
1.91,1.0,3.0,4.0
2.45,1.0,3.0,4.0
2.13,1.0,3.0,4.0
2.62,1.0,4.0,1.0
2.25,1.0,4.0,1.0
2.25,1.0,4.0,2.0
2.21,1.0,4.0,2.0
2.99,1.0,4.0,3.0
1.73,1.0,4.0,3.0
2.56,1.0,4.0,4.0
2.36,1.0,4.0,4.0
2.9,1.0,4.0,4.0
1.17,2.0,1.0,1.0
1.09,2.0,1.0,1.0
1.54,2.0,1.0,2.0
1.3,2.0,1.0,2.0
1.55,2.0,1.0,3.0
1.69,2.0,1.0,3.0
1.69,2.0,1.0,3.0
1.73,2.0,1.0,4.0
2.08,2.0,1.0,4.0
1.31,2.0,2.0,1.0
1.74,2.0,2.0,1.0
2.23,2.0,2.0,1.0
1.71,2.0,2.0,2.0
2.6,2.0,2.0,2.0
1.62,2.0,2.0,2.0
1.91,2.0,2.0,3.0
2.15,2.0,2.0,3.0
1.63,2.0,2.0,4.0
2.15,2.0,2.0,4.0
1.74,2.0,2.0,4.0
2.59,2.0,3.0,1.0
1.66,2.0,3.0,1.0
2.44,2.0,3.0,1.0
2.57,2.0,3.0,2.0
2.1,2.0,3.0,2.0
2.25,2.0,3.0,2.0
2.54,2.0,3.0,3.0
2.98,2.0,3.0,4.0
2.35,2.0,3.0,4.0
2.67,2.0,3.0,4.0
3.07,2.0,4.0,1.0
2.93,2.0,4.0,1.0
2.74,2.0,4.0,1.0
3.36,2.0,4.0,2.0
2.87,2.0,4.0,2.0
3.08,2.0,4.0,2.0
2.83,2.0,4.0,3.0
2.72,2.0,4.0,3.0
3.2,2.0,4.0,3.0
2.86,2.0,4.0,4.0
2.59,2.0,4.0,4.0
3.32,2.0,4.0,4.0
2.3,3.0,1.0,1.0
1.4,3.0,1.0,1.0
1.39,3.0,1.0,1.0
1.39,3.0,1.0,2.0
1.8,3.0,1.0,2.0
1.5,3.0,1.0,2.0
1.8,3.0,1.0,3.0
2.04,3.0,1.0,3.0
1.81,3.0,1.0,3.0
1.97,3.0,1.0,4.0
1.87,3.0,1.0,4.0
2.09,3.0,1.0,4.0
1.88,3.0,2.0,1.0
2.64,3.0,2.0,1.0
1.9,3.0,2.0,1.0
2.68,3.0,2.0,2.0
1.77,3.0,2.0,2.0
1.91,3.0,2.0,2.0
1.9,3.0,2.0,3.0
1.38,3.0,2.0,3.0
2.08,3.0,2.0,3.0
2.44,3.0,2.0,4.0
1.95,3.0,2.0,4.0
2.28,3.0,2.0,4.0
2.79,3.0,3.0,1.0
2.85,3.0,3.0,1.0
2.62,3.0,3.0,2.0
2.78,3.0,3.0,2.0
2.46,3.0,3.0,3.0
3.21,3.0,3.0,3.0
2.32,3.0,3.0,3.0
3.81,3.0,3.0,4.0
2.62,3.0,3.0,4.0
3.0,3.0,4.0,1.0
3.29,3.0,4.0,1.0
3.11,3.0,4.0,1.0
3.17,3.0,4.0,2.0
3.6,3.0,4.0,2.0
2.78,3.0,4.0,3.0
3.16,3.0,4.0,3.0
2.55,3.0,4.0,3.0
2.82,3.0,4.0,4.0
3.11,3.0,4.0,4.0
3.14,3.0,4.0,4.0
2.82,4.0,1.0,1.0
2.34,4.0,1.0,1.0
2.17,4.0,1.0,1.0
1.99,4.0,1.0,2.0
2.52,4.0,1.0,2.0
2.83,4.0,1.0,2.0
2.84,4.0,1.0,3.0
2.57,4.0,1.0,3.0
2.16,4.0,1.0,3.0
2.97,4.0,1.0,4.0
2.65,4.0,1.0,4.0
2.14,4.0,1.0,4.0
2.6,4.0,2.0,1.0
2.49,4.0,2.0,1.0
2.21,4.0,2.0,1.0
2.4,4.0,2.0,2.0
3.14,4.0,2.0,2.0
2.64,4.0,2.0,2.0
2.59,4.0,2.0,3.0
3.46,4.0,2.0,3.0
2.37,4.0,2.0,3.0
2.9,4.0,2.0,4.0
2.51,4.0,2.0,4.0
3.27,4.0,3.0,1.0
2.68,4.0,3.0,1.0
3.09,4.0,3.0,1.0
3.09,4.0,3.0,2.0
2.86,4.0,3.0,2.0
3.42,4.0,3.0,2.0
3.89,4.0,3.0,3.0
3.15,4.0,3.0,3.0
3.26,4.0,3.0,3.0
3.29,4.0,3.0,4.0
3.24,4.0,3.0,4.0
3.5,4.0,3.0,4.0
3.59,4.0,4.0,1.0
3.96,4.0,4.0,1.0
3.39,4.0,4.0,2.0
3.23,4.0,4.0,2.0
4.31,4.0,4.0,2.0
3.02,4.0,4.0,3.0
3.08,4.0,4.0,3.0
3.36,4.0,4.0,3.0
3.58,4.0,4.0,4.0
3.56,4.0,4.0,4.0
