FLEAS,LOGFLEAS,CARPET,NCATS,HAIRL,TRTMT
65.0,4.174,1.0,1.0,6.5,1.0
294.0,5.6822,1.0,2.0,6.0,1.0
38.0,3.629,1.0,1.0,3.5,1.0
23.0,3.1514,1.0,1.0,6.7,1.0
77.0,4.3479,1.0,1.0,5.2,1.0
136.0,4.9137,1.0,2.0,5.5,1.0
150.0,5.01,1.0,3.0,5.7,1.0
52.0,3.9557,1.0,1.0,4.1,1.0
211.0,5.3512,1.0,3.0,8.1,1.0
162.0,5.085,1.0,2.0,6.8,1.0
36.0,3.5795,1.0,1.0,5.0,1.0
56.0,4.0316,1.0,2.0,5.4,1.0
145.0,4.98,1.0,1.0,6.6,1.0
42.0,3.7353,1.0,1.0,6.7,1.0
210.0,5.3495,1.0,4.0,6.3,1.0
108.0,4.6853,1.0,2.0,5.8,1.0
67.0,4.2118,1.0,1.0,6.0,1.0
18.0,2.8924,1.0,1.0,6.4,1.0
40.0,3.6974,1.0,0.0,4.4,1.0
230.0,5.4376,1.0,1.0,6.4,1.0
64.0,4.1513,2.0,1.0,5.6,1.0
48.0,3.868,2.0,2.0,5.8,1.0
19.0,2.9504,2.0,2.0,7.1,1.0
95.0,4.5548,2.0,2.0,6.1,1.0
30.0,3.3901,2.0,1.0,4.8,1.0
217.0,5.3798,2.0,2.0,5.8,1.0
31.0,3.4335,2.0,2.0,6.4,1.0
74.0,4.3052,2.0,1.0,6.7,1.0
455.0,6.1192,2.0,2.0,6.5,1.0
38.0,3.6402,2.0,1.0,5.6,1.0
82.0,4.4029,2.0,1.0,3.8,1.0
56.0,4.0277,2.0,1.0,5.2,1.0
42.0,3.7309,2.0,1.0,5.3,1.0
38.0,3.6339,2.0,3.0,6.2,1.0
85.0,4.4447,2.0,3.0,7.0,1.0
28.0,3.3327,2.0,1.0,4.9,1.0
9.0,2.1855,2.0,0.0,6.4,1.0
24.0,3.1588,2.0,1.0,7.2,1.0
101.0,4.6191,2.0,1.0,4.0,1.0
