SITE1,SITE2,SITE3,NINDIVS,SITE
10.0,21.0,52.0,10.0,1.0
6.0,14.0,46.0,6.0,1.0
15.0,14.0,52.0,15.0,1.0
10.0,15.0,33.0,10.0,1.0
8.0,17.0,41.0,8.0,1.0
6.0,19.0,42.0,6.0,1.0
12.0,20.0,51.0,12.0,1.0
12.0,23.0,40.0,12.0,1.0
11.0,16.0,43.0,11.0,1.0
9.0,19.0,41.0,9.0,1.0
8.0,17.0,40.0,8.0,1.0
15.0,17.0,37.0,15.0,1.0
16.0,22.0,42.0,16.0,1.0
10.0,17.0,54.0,10.0,1.0
10.0,9.0,38.0,10.0,1.0
6.0,18.0,32.0,6.0,1.0
9.0,17.0,37.0,9.0,1.0
7.0,26.0,42.0,7.0,1.0
16.0,20.0,37.0,16.0,1.0
13.0,19.0,46.0,13.0,1.0
8.0,13.0,37.0,8.0,1.0
10.0,21.0,41.0,10.0,1.0
10.0,28.0,50.0,10.0,1.0
8.0,20.0,42.0,8.0,1.0
10.0,14.0,41.0,10.0,1.0
2.0,22.0,43.0,2.0,1.0
17.0,15.0,35.0,17.0,1.0
8.0,27.0,31.0,8.0,1.0
7.0,19.0,32.0,7.0,1.0
12.0,26.0,34.0,12.0,1.0
15.0,25.0,33.0,15.0,1.0
6.0,8.0,50.0,6.0,1.0
8.0,15.0,53.0,8.0,1.0
9.0,17.0,40.0,9.0,1.0
6.0,26.0,41.0,6.0,1.0
14.0,18.0,42.0,14.0,1.0
9.0,26.0,56.0,9.0,1.0
6.0,15.0,47.0,6.0,1.0
3.0,19.0,37.0,3.0,1.0
7.0,19.0,44.0,7.0,1.0
10.0,20.0,35.0,10.0,1.0
11.0,13.0,40.0,11.0,1.0
13.0,9.0,35.0,13.0,1.0
11.0,21.0,32.0,11.0,1.0
12.0,19.0,31.0,12.0,1.0
12.0,19.0,49.0,12.0,1.0
6.0,13.0,44.0,6.0,1.0
11.0,12.0,35.0,11.0,1.0
10.0,20.0,44.0,10.0,1.0
6.0,18.0,41.0,6.0,1.0
12.0,19.0,45.0,12.0,1.0
8.0,20.0,51.0,8.0,1.0
11.0,19.0,39.0,11.0,1.0
13.0,20.0,37.0,13.0,1.0
7.0,26.0,43.0,7.0,1.0
12.0,22.0,40.0,12.0,1.0
14.0,23.0,39.0,14.0,1.0
8.0,26.0,40.0,8.0,1.0
8.0,22.0,44.0,8.0,1.0
10.0,27.0,39.0,10.0,1.0
9.0,23.0,51.0,9.0,1.0
8.0,21.0,39.0,8.0,1.0
13.0,14.0,47.0,13.0,1.0
7.0,19.0,44.0,7.0,1.0
10.0,10.0,46.0,10.0,1.0
9.0,26.0,43.0,9.0,1.0
11.0,21.0,33.0,11.0,1.0
11.0,22.0,49.0,11.0,1.0
6.0,14.0,42.0,6.0,1.0
13.0,16.0,45.0,13.0,1.0
7.0,17.0,45.0,7.0,1.0
7.0,18.0,43.0,7.0,1.0
5.0,18.0,49.0,5.0,1.0
5.0,17.0,43.0,5.0,1.0
12.0,15.0,33.0,12.0,1.0
9.0,20.0,42.0,9.0,1.0
6.0,20.0,50.0,6.0,1.0
10.0,23.0,40.0,10.0,1.0
9.0,23.0,48.0,9.0,1.0
10.0,16.0,37.0,10.0,1.0
12.0,16.0,41.0,12.0,1.0
7.0,20.0,49.0,7.0,1.0
9.0,21.0,41.0,9.0,1.0
8.0,22.0,47.0,8.0,1.0
11.0,26.0,33.0,11.0,1.0
4.0,16.0,51.0,4.0,1.0
6.0,21.0,42.0,6.0,1.0
10.0,19.0,41.0,10.0,1.0
11.0,17.0,30.0,11.0,1.0
6.0,19.0,29.0,6.0,1.0
5.0,23.0,51.0,5.0,1.0
15.0,13.0,27.0,15.0,1.0
17.0,17.0,43.0,17.0,1.0
8.0,17.0,40.0,8.0,1.0
11.0,24.0,45.0,11.0,1.0
4.0,20.0,31.0,4.0,1.0
14.0,28.0,35.0,14.0,1.0
5.0,14.0,41.0,5.0,1.0
7.0,14.0,44.0,7.0,1.0
15.0,12.0,35.0,15.0,1.0
,,,21.0,2.0
,,,14.0,2.0
,,,14.0,2.0
,,,15.0,2.0
,,,17.0,2.0
,,,19.0,2.0
,,,20.0,2.0
,,,23.0,2.0
,,,16.0,2.0
,,,19.0,2.0
,,,17.0,2.0
,,,17.0,2.0
,,,22.0,2.0
,,,17.0,2.0
,,,9.0,2.0
,,,18.0,2.0
,,,17.0,2.0
,,,26.0,2.0
,,,20.0,2.0
,,,19.0,2.0
,,,13.0,2.0
,,,21.0,2.0
,,,28.0,2.0
,,,20.0,2.0
,,,14.0,2.0
,,,22.0,2.0
,,,15.0,2.0
,,,27.0,2.0
,,,19.0,2.0
,,,26.0,2.0
,,,25.0,2.0
,,,8.0,2.0
,,,15.0,2.0
,,,17.0,2.0
,,,26.0,2.0
,,,18.0,2.0
,,,26.0,2.0
,,,15.0,2.0
,,,19.0,2.0
,,,19.0,2.0
,,,20.0,2.0
,,,13.0,2.0
,,,9.0,2.0
,,,21.0,2.0
,,,19.0,2.0
,,,19.0,2.0
,,,13.0,2.0
,,,12.0,2.0
,,,20.0,2.0
,,,18.0,2.0
,,,19.0,2.0
,,,20.0,2.0
,,,19.0,2.0
,,,20.0,2.0
,,,26.0,2.0
,,,22.0,2.0
,,,23.0,2.0
,,,26.0,2.0
,,,22.0,2.0
,,,27.0,2.0
,,,23.0,2.0
,,,21.0,2.0
,,,14.0,2.0
,,,19.0,2.0
,,,10.0,2.0
,,,26.0,2.0
,,,21.0,2.0
,,,22.0,2.0
,,,14.0,2.0
,,,16.0,2.0
,,,17.0,2.0
,,,18.0,2.0
,,,18.0,2.0
,,,17.0,2.0
,,,15.0,2.0
,,,20.0,2.0
,,,20.0,2.0
,,,23.0,2.0
,,,23.0,2.0
,,,16.0,2.0
,,,16.0,2.0
,,,20.0,2.0
,,,21.0,2.0
,,,22.0,2.0
,,,26.0,2.0
,,,16.0,2.0
,,,21.0,2.0
,,,19.0,2.0
,,,17.0,2.0
,,,19.0,2.0
,,,23.0,2.0
,,,13.0,2.0
,,,17.0,2.0
,,,17.0,2.0
,,,24.0,2.0
,,,20.0,2.0
,,,28.0,2.0
,,,14.0,2.0
,,,14.0,2.0
,,,12.0,2.0
,,,52.0,3.0
,,,46.0,3.0
,,,52.0,3.0
,,,33.0,3.0
,,,41.0,3.0
,,,42.0,3.0
,,,51.0,3.0
,,,40.0,3.0
,,,43.0,3.0
,,,41.0,3.0
,,,40.0,3.0
,,,37.0,3.0
,,,42.0,3.0
,,,54.0,3.0
,,,38.0,3.0
,,,32.0,3.0
,,,37.0,3.0
,,,42.0,3.0
,,,37.0,3.0
,,,46.0,3.0
,,,37.0,3.0
,,,41.0,3.0
,,,50.0,3.0
,,,42.0,3.0
,,,41.0,3.0
,,,43.0,3.0
,,,35.0,3.0
,,,31.0,3.0
,,,32.0,3.0
,,,34.0,3.0
,,,33.0,3.0
,,,50.0,3.0
,,,53.0,3.0
,,,40.0,3.0
,,,41.0,3.0
,,,42.0,3.0
,,,56.0,3.0
,,,47.0,3.0
,,,37.0,3.0
,,,44.0,3.0
,,,35.0,3.0
,,,40.0,3.0
,,,35.0,3.0
,,,32.0,3.0
,,,31.0,3.0
,,,49.0,3.0
,,,44.0,3.0
,,,35.0,3.0
,,,44.0,3.0
,,,41.0,3.0
,,,45.0,3.0
,,,51.0,3.0
,,,39.0,3.0
,,,37.0,3.0
,,,43.0,3.0
,,,40.0,3.0
,,,39.0,3.0
,,,40.0,3.0
,,,44.0,3.0
,,,39.0,3.0
,,,51.0,3.0
,,,39.0,3.0
,,,47.0,3.0
,,,44.0,3.0
,,,46.0,3.0
,,,43.0,3.0
,,,33.0,3.0
,,,49.0,3.0
,,,42.0,3.0
,,,45.0,3.0
,,,45.0,3.0
,,,43.0,3.0
,,,49.0,3.0
,,,43.0,3.0
,,,33.0,3.0
,,,42.0,3.0
,,,50.0,3.0
,,,40.0,3.0
,,,48.0,3.0
,,,37.0,3.0
,,,41.0,3.0
,,,49.0,3.0
,,,41.0,3.0
,,,47.0,3.0
,,,33.0,3.0
,,,51.0,3.0
,,,42.0,3.0
,,,41.0,3.0
,,,30.0,3.0
,,,29.0,3.0
,,,51.0,3.0
,,,27.0,3.0
,,,43.0,3.0
,,,40.0,3.0
,,,45.0,3.0
,,,31.0,3.0
,,,35.0,3.0
,,,41.0,3.0
,,,44.0,3.0
,,,35.0,3.0
