FOREARM,HT,WT
4.868,159.4,70.69
4.671,163.9,63.93
2.995,158.1,60.39
3.544,148.1,56.68
1.719,155.1,56.61
6.297,153.9,63.72
7.741,151.4,52.37
7.684,159.0,77.99
0.232,143.7,40.43
9.811,148.0,76.16
5.653,167.6,70.39
3.169,160.8,63.55
8.088,158.4,65.5
7.25,153.6,60.94
3.154,158.5,55.8
2.993,165.0,61.46
3.655,157.1,61.91
1.869,152.3,55.24
5.624,157.9,66.28
4.451,161.1,67.26
6.857,167.6,70.41
0.403,152.2,48.61
5.965,171.2,80.35
4.563,156.6,59.7
9.329,154.4,65.9
5.771,156.3,66.51
3.859,162.1,63.64
7.784,166.9,80.93
4.971,156.7,61.49
3.41,165.3,60.27
4.292,154.6,59.04
4.942,167.8,70.12
7.918,155.2,62.86
6.037,153.3,58.47
3.364,155.2,64.08
5.282,160.7,60.08
8.582,151.6,52.58
4.493,160.5,66.66
4.496,156.5,65.27
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
