BLOCK,VARIETY,YIELD
1.0,1.0,12.2
1.0,2.0,13.15
1.0,3.0,12.92
1.0,4.0,16.75
1.0,1.0,19.35
1.0,2.0,20.12
1.0,3.0,7.59
1.0,4.0,19.42
2.0,1.0,13.37
2.0,2.0,18.33
2.0,3.0,5.22
2.0,4.0,19.72
2.0,1.0,13.11
2.0,2.0,13.4
2.0,3.0,12.27
2.0,4.0,13.97
3.0,1.0,11.68
3.0,2.0,26.73
3.0,3.0,8.0
3.0,4.0,24.21
3.0,1.0,10.64
3.0,2.0,12.79
3.0,3.0,7.53
3.0,4.0,17.88
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
