DIET,LGWT3,LGWT8,LGWT20,LGWT60
1.0,0.78846,1.70475,3.7281,4.68767
1.0,0.69315,1.58924,3.83298,4.53903
1.0,0.69315,1.64866,3.7305,4.60517
1.0,0.78846,1.60944,3.63495,4.45783
1.0,0.83291,1.72277,3.87743,4.6415
2.0,0.74194,1.66771,3.71357,4.52504
2.0,0.58779,1.45862,3.58074,4.3745
2.0,0.64185,1.52606,3.627,4.35927
2.0,0.53063,1.45862,3.46574,4.2669
2.0,0.91629,1.6864,3.79098,4.62301
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
