HGHT,LONGEV,LEAFSIZE,SPECIES
10.1,28.1,3.3,1.0
8.6,4.3,4.2,1.0
10.3,51.6,4.4,1.0
9.8,231.1,3.8,1.0
11.8,1.4,4.0,1.0
7.5,45.0,3.9,1.0
9.6,44.8,4.3,1.0
7.6,75.0,4.3,1.0
11.9,197.9,3.9,1.0
9.5,77.7,3.9,1.0
8.4,298.0,2.9,1.0
6.9,97.2,3.7,1.0
8.2,86.7,3.6,1.0
7.1,44.2,4.2,1.0
10.0,328.9,0.4,1.0
10.4,83.5,4.5,1.0
11.5,70.6,3.1,1.0
11.0,3.8,4.0,1.0
3.8,77.4,3.8,1.0
12.2,298.6,4.2,1.0
7.6,0.0,4.0,1.0
12.0,26.1,4.1,1.0
13.3,270.7,3.9,1.0
7.5,1.1,2.4,1.0
8.9,3.6,3.8,1.0
14.8,17.5,3.2,2.0
13.6,171.4,3.6,2.0
15.3,47.4,4.0,2.0
10.8,259.9,4.0,2.0
15.0,7.5,4.0,2.0
14.6,13.0,3.9,2.0
13.8,94.9,4.5,2.0
10.9,404.9,4.0,2.0
12.0,51.4,2.3,2.0
17.2,54.7,4.0,2.0
16.4,3.3,3.7,2.0
11.8,14.0,3.6,2.0
13.3,81.2,3.7,2.0
9.3,0.5,4.3,2.0
13.6,29.6,4.0,2.0
17.9,48.5,4.0,2.0
15.6,70.4,4.2,2.0
21.3,30.8,3.5,2.0
12.1,46.6,3.7,2.0
13.0,16.7,4.3,2.0
11.0,175.5,3.0,2.0
13.2,299.7,4.1,2.0
15.5,42.4,3.8,2.0
14.0,0.2,3.8,2.0
13.7,59.1,3.8,2.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
