BAC,TEMP,OXYGEN,ROT
1.0,1.0,1.0,7.0
1.0,1.0,1.0,7.0
1.0,1.0,1.0,9.0
1.0,1.0,2.0,0.0
1.0,1.0,2.0,0.0
1.0,1.0,2.0,0.0
1.0,1.0,3.0,9.0
1.0,1.0,3.0,0.0
1.0,1.0,3.0,0.0
1.0,2.0,1.0,10.0
1.0,2.0,1.0,6.0
1.0,2.0,1.0,10.0
1.0,2.0,2.0,4.0
1.0,2.0,2.0,10.0
1.0,2.0,2.0,5.0
1.0,2.0,3.0,8.0
1.0,2.0,3.0,0.0
1.0,2.0,3.0,10.0
2.0,1.0,1.0,2.0
2.0,1.0,1.0,4.0
2.0,1.0,1.0,9.0
2.0,1.0,2.0,4.0
2.0,1.0,2.0,5.0
2.0,1.0,2.0,10.0
2.0,1.0,3.0,4.0
2.0,1.0,3.0,5.0
2.0,1.0,3.0,0.0
2.0,2.0,1.0,17.0
2.0,2.0,1.0,18.0
2.0,2.0,1.0,8.0
2.0,2.0,2.0,3.0
2.0,2.0,2.0,23.0
2.0,2.0,2.0,7.0
2.0,2.0,3.0,15.0
2.0,2.0,3.0,14.0
2.0,2.0,3.0,17.0
3.0,1.0,1.0,13.0
3.0,1.0,1.0,11.0
3.0,1.0,1.0,3.0
3.0,1.0,2.0,10.0
3.0,1.0,2.0,4.0
3.0,1.0,2.0,7.0
3.0,1.0,3.0,15.0
3.0,1.0,3.0,2.0
3.0,1.0,3.0,7.0
3.0,2.0,1.0,26.0
3.0,2.0,1.0,19.0
3.0,2.0,1.0,24.0
3.0,2.0,2.0,15.0
3.0,2.0,2.0,22.0
3.0,2.0,2.0,18.0
3.0,2.0,3.0,20.0
3.0,2.0,3.0,24.0
3.0,2.0,3.0,8.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
