DURATION,NLOOKUPS,SEX,SHEEP,OBSPER
39.0,3.0,1.0,1.0,1.0
40.0,7.0,1.0,1.0,2.0
39.0,3.0,1.0,1.0,3.0
34.0,7.0,1.0,1.0,4.0
31.0,6.0,1.0,1.0,5.0
37.0,5.0,1.0,1.0,6.0
38.0,3.0,1.0,1.0,7.0
36.0,4.0,1.0,1.0,8.0
36.0,2.0,1.0,1.0,9.0
37.0,5.0,1.0,1.0,10.0
37.0,3.0,1.0,1.0,11.0
42.0,3.0,1.0,1.0,12.0
40.0,6.0,1.0,1.0,13.0
43.0,5.0,1.0,1.0,14.0
38.0,6.0,1.0,1.0,15.0
40.0,7.0,1.0,1.0,16.0
35.0,6.0,1.0,1.0,17.0
28.0,4.0,1.0,1.0,18.0
36.0,4.0,1.0,1.0,19.0
30.0,7.0,1.0,1.0,20.0
35.0,9.0,1.0,2.0,1.0
50.0,10.0,1.0,2.0,2.0
46.0,9.0,1.0,2.0,3.0
41.0,10.0,1.0,2.0,4.0
41.0,10.0,1.0,2.0,5.0
35.0,7.0,1.0,2.0,6.0
40.0,9.0,1.0,2.0,7.0
46.0,10.0,1.0,2.0,8.0
39.0,7.0,1.0,2.0,9.0
35.0,9.0,1.0,2.0,10.0
37.0,11.0,1.0,2.0,11.0
42.0,8.0,1.0,2.0,12.0
36.0,9.0,1.0,2.0,13.0
41.0,10.0,1.0,2.0,14.0
48.0,10.0,1.0,2.0,15.0
41.0,10.0,1.0,2.0,16.0
44.0,10.0,1.0,2.0,17.0
41.0,10.0,1.0,2.0,18.0
39.0,10.0,1.0,2.0,19.0
38.0,12.0,1.0,2.0,20.0
41.0,6.0,1.0,3.0,1.0
48.0,9.0,1.0,3.0,2.0
43.0,6.0,1.0,3.0,3.0
44.0,7.0,1.0,3.0,4.0
38.0,10.0,1.0,3.0,5.0
45.0,7.0,1.0,3.0,6.0
49.0,5.0,1.0,3.0,7.0
44.0,9.0,1.0,3.0,8.0
49.0,7.0,1.0,3.0,9.0
37.0,7.0,1.0,3.0,10.0
38.0,6.0,1.0,3.0,11.0
53.0,7.0,1.0,3.0,12.0
42.0,7.0,1.0,3.0,13.0
53.0,7.0,1.0,3.0,14.0
45.0,8.0,1.0,3.0,15.0
42.0,9.0,1.0,3.0,16.0
44.0,6.0,1.0,3.0,17.0
42.0,7.0,1.0,3.0,18.0
46.0,5.0,1.0,3.0,19.0
41.0,11.0,1.0,3.0,20.0
41.0,6.0,2.0,4.0,1.0
48.0,7.0,2.0,4.0,2.0
47.0,4.0,2.0,4.0,3.0
40.0,8.0,2.0,4.0,4.0
30.0,9.0,2.0,4.0,5.0
34.0,6.0,2.0,4.0,6.0
34.0,7.0,2.0,4.0,7.0
40.0,6.0,2.0,4.0,8.0
34.0,6.0,2.0,4.0,9.0
40.0,7.0,2.0,4.0,10.0
34.0,7.0,2.0,4.0,11.0
43.0,5.0,2.0,4.0,12.0
39.0,9.0,2.0,4.0,13.0
44.0,7.0,2.0,4.0,14.0
40.0,10.0,2.0,4.0,15.0
37.0,11.0,2.0,4.0,16.0
39.0,6.0,2.0,4.0,17.0
32.0,7.0,2.0,4.0,18.0
32.0,7.0,2.0,4.0,19.0
35.0,10.0,2.0,4.0,20.0
33.0,7.0,2.0,5.0,1.0
39.0,10.0,2.0,5.0,2.0
40.0,7.0,2.0,5.0,3.0
29.0,7.0,2.0,5.0,4.0
27.0,8.0,2.0,5.0,5.0
30.0,5.0,2.0,5.0,6.0
32.0,4.0,2.0,5.0,7.0
40.0,7.0,2.0,5.0,8.0
36.0,6.0,2.0,5.0,9.0
35.0,9.0,2.0,5.0,10.0
33.0,7.0,2.0,5.0,11.0
35.0,6.0,2.0,5.0,12.0
31.0,9.0,2.0,5.0,13.0
35.0,6.0,2.0,5.0,14.0
46.0,10.0,2.0,5.0,15.0
35.0,11.0,2.0,5.0,16.0
37.0,6.0,2.0,5.0,17.0
33.0,9.0,2.0,5.0,18.0
35.0,8.0,2.0,5.0,19.0
35.0,8.0,2.0,5.0,20.0
36.0,9.0,2.0,6.0,1.0
40.0,10.0,2.0,6.0,2.0
33.0,9.0,2.0,6.0,3.0
33.0,11.0,2.0,6.0,4.0
30.0,12.0,2.0,6.0,5.0
29.0,11.0,2.0,6.0,6.0
34.0,7.0,2.0,6.0,7.0
30.0,11.0,2.0,6.0,8.0
35.0,9.0,2.0,6.0,9.0
29.0,12.0,2.0,6.0,10.0
37.0,12.0,2.0,6.0,11.0
40.0,8.0,2.0,6.0,12.0
30.0,13.0,2.0,6.0,13.0
37.0,11.0,2.0,6.0,14.0
39.0,14.0,2.0,6.0,15.0
31.0,11.0,2.0,6.0,16.0
38.0,11.0,2.0,6.0,17.0
35.0,12.0,2.0,6.0,18.0
33.0,11.0,2.0,6.0,19.0
28.0,11.0,2.0,6.0,20.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
