X1,Y1
1.0,-1.51
1.92,24.25
3.05,16.2
4.0,24.34
5.12,0.68
6.52,66.11
7.7,154.02
8.68,100.64
9.88,38.83
11.09,319.63
12.42,64.98
13.49,405.9
14.65,242.83
15.62,241.35
16.25,257.23
17.06,297.56
17.94,324.74
19.06,334.43
20.3,437.15
21.55,449.17
22.62,451.53
23.4,602.74
24.17,666.26
25.27,640.96
26.12,669.19
27.15,766.79
28.37,731.45
29.78,876.52
31.09,904.64
32.18,929.06
1.0,18.65
2.01,12.21
3.02,-52.07
4.06,66.22
5.23,22.85
6.72,74.18
7.77,96.52
8.9,169.04
9.89,-3.32
10.95,166.37
20.91,434.18
22.16,470.22
23.28,447.12
24.04,621.0
25.07,558.04
25.6,666.68
26.54,787.5
27.33,666.96
28.44,730.5
29.34,973.21
19.6,387.31
20.54,268.59
21.61,416.01
22.82,323.86
23.52,610.84
24.72,610.82
25.79,436.84
26.66,832.78
27.67,825.28
28.23,584.29
28.76,795.43
1.0,18.44
2.29,17.96
3.21,27.92
4.05,-63.03
4.9,63.76
5.82,93.41
6.54,17.37
7.68,151.22
8.8,130.92
1.0,-17.98
1.88,-19.82
3.08,-66.35
4.35,10.76
5.18,122.62
5.86,-92.04
7.2,-11.76
7.83,49.01
8.96,-41.42
10.2,69.65
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
