MALE,FEMALE
0.41,0.4
0.38,0.39
1.13,0.59
0.61,0.62
0.73,0.53
0.56,0.34
0.62,0.41
0.75,0.59
0.5,0.46
0.75,0.63
0.5,0.43
0.85,0.48
0.62,0.58
0.48,0.49
0.6,0.45
0.59,0.5
0.63,0.67
0.98,0.82
0.5,0.5
0.71,0.41
0.45,0.45
0.47,0.78
0.47,0.58
0.88,0.49
0.37,0.55
0.83,0.32
0.43,0.62
0.42,0.53
0.67,0.52
0.37,0.51
0.52,0.43
0.38,0.67
0.37,0.61
0.51,0.37
0.41,0.4
0.29,0.67
0.68,0.72
0.77,0.41
0.66,0.38
0.98,0.37
0.57,0.85
0.48,0.78
0.56,0.62
0.36,0.34
0.78,0.48
0.56,0.45
0.34,0.41
0.65,0.38
0.36,0.52
1.05,0.4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
