DATE,WATER,TRAY,PERCGERM,V26,WATER3,PG3
1.0,-2.0,1.0,15.6,,-2.0,24.3
1.0,-2.0,2.0,11.2,,-2.0,21.8
1.0,-2.0,3.0,10.7,,-2.0,31.7
1.0,-2.0,4.0,16.2,,-2.0,30.1
1.0,-2.0,5.0,13.9,,-2.0,22.7
1.0,-2.0,6.0,8.5,,-2.0,26.0
1.0,-2.0,7.0,17.5,,-2.0,33.1
1.0,-2.0,8.0,6.2,,-2.0,23.5
1.0,-2.0,9.0,14.9,,-2.0,25.2
1.0,-2.0,10.0,7.4,,-2.0,26.5
1.0,-1.0,1.0,4.0,,-1.0,34.4
1.0,-1.0,2.0,15.7,,-1.0,30.1
1.0,-1.0,3.0,10.6,,-1.0,32.0
1.0,-1.0,4.0,11.5,,-1.0,27.4
1.0,-1.0,5.0,12.7,,-1.0,25.4
1.0,-1.0,6.0,17.9,,-1.0,27.5
1.0,-1.0,7.0,11.1,,-1.0,32.4
1.0,-1.0,8.0,14.9,,-1.0,28.1
1.0,-1.0,9.0,14.9,,-1.0,24.6
1.0,-1.0,10.0,15.5,,-1.0,29.7
1.0,0.0,1.0,17.8,,0.0,32.3
1.0,0.0,2.0,11.1,,0.0,31.0
1.0,0.0,3.0,7.8,,0.0,23.9
1.0,0.0,4.0,20.9,,0.0,25.4
1.0,0.0,5.0,18.2,,0.0,29.9
1.0,0.0,6.0,12.7,,0.0,27.1
1.0,0.0,7.0,16.6,,0.0,30.0
1.0,0.0,8.0,11.3,,0.0,35.4
1.0,0.0,9.0,12.4,,0.0,25.3
1.0,0.0,10.0,14.5,,0.0,39.2
1.0,1.0,1.0,11.5,,1.0,36.6
1.0,1.0,2.0,18.2,,1.0,27.8
1.0,1.0,3.0,12.0,,1.0,28.5
1.0,1.0,4.0,11.8,,1.0,34.3
1.0,1.0,5.0,12.3,,1.0,26.8
1.0,1.0,6.0,12.0,,1.0,22.4
1.0,1.0,7.0,18.9,,1.0,25.8
1.0,1.0,8.0,16.1,,1.0,29.3
1.0,1.0,9.0,13.4,,1.0,34.8
1.0,1.0,10.0,12.8,,1.0,31.1
1.0,2.0,1.0,7.3,,2.0,22.6
1.0,2.0,2.0,9.5,,2.0,22.4
1.0,2.0,3.0,15.9,,2.0,24.9
1.0,2.0,4.0,11.2,,2.0,26.9
1.0,2.0,5.0,16.4,,2.0,29.8
1.0,2.0,6.0,10.1,,2.0,25.5
1.0,2.0,7.0,9.7,,2.0,23.9
1.0,2.0,8.0,18.2,,2.0,26.3
1.0,2.0,9.0,13.6,,2.0,33.5
1.0,2.0,10.0,12.5,,2.0,24.2
2.0,-2.0,1.0,23.4,,,
2.0,-2.0,2.0,18.5,,,
2.0,-2.0,3.0,16.4,,,
2.0,-2.0,4.0,14.2,,,
2.0,-2.0,5.0,16.6,,,
2.0,-2.0,6.0,20.5,,,
2.0,-2.0,7.0,20.4,,,
2.0,-2.0,8.0,23.6,,,
2.0,-2.0,9.0,19.1,,,
2.0,-2.0,10.0,16.9,,,
2.0,-1.0,1.0,19.2,,,
2.0,-1.0,2.0,18.4,,,
2.0,-1.0,3.0,21.5,,,
2.0,-1.0,4.0,19.6,,,
2.0,-1.0,5.0,14.1,,,
2.0,-1.0,6.0,14.8,,,
2.0,-1.0,7.0,25.5,,,
2.0,-1.0,8.0,19.2,,,
2.0,-1.0,9.0,17.2,,,
2.0,-1.0,10.0,11.9,,,
2.0,0.0,1.0,19.4,,,
2.0,0.0,2.0,19.8,,,
2.0,0.0,3.0,21.6,,,
2.0,0.0,4.0,28.0,,,
2.0,0.0,5.0,23.1,,,
2.0,0.0,6.0,24.4,,,
2.0,0.0,7.0,23.0,,,
2.0,0.0,8.0,25.6,,,
2.0,0.0,9.0,31.0,,,
2.0,0.0,10.0,26.9,,,
2.0,1.0,1.0,19.9,,,
2.0,1.0,2.0,25.0,,,
2.0,1.0,3.0,23.2,,,
2.0,1.0,4.0,21.5,,,
2.0,1.0,5.0,25.2,,,
2.0,1.0,6.0,28.1,,,
2.0,1.0,7.0,17.1,,,
2.0,1.0,8.0,16.2,,,
2.0,1.0,9.0,17.7,,,
2.0,1.0,10.0,18.7,,,
2.0,2.0,1.0,21.6,,,
2.0,2.0,2.0,18.5,,,
2.0,2.0,3.0,21.7,,,
2.0,2.0,4.0,15.7,,,
2.0,2.0,5.0,22.4,,,
2.0,2.0,6.0,23.7,,,
2.0,2.0,7.0,19.0,,,
2.0,2.0,8.0,16.9,,,
2.0,2.0,9.0,20.1,,,
2.0,2.0,10.0,22.3,,,
3.0,-2.0,1.0,24.3,,,
3.0,-2.0,2.0,21.8,,,
3.0,-2.0,3.0,31.7,,,
3.0,-2.0,4.0,30.1,,,
3.0,-2.0,5.0,22.7,,,
3.0,-2.0,6.0,26.0,,,
3.0,-2.0,7.0,33.1,,,
3.0,-2.0,8.0,23.5,,,
3.0,-2.0,9.0,25.2,,,
3.0,-2.0,10.0,26.5,,,
3.0,-1.0,1.0,34.4,,,
3.0,-1.0,2.0,30.1,,,
3.0,-1.0,3.0,32.0,,,
3.0,-1.0,4.0,27.4,,,
3.0,-1.0,5.0,25.4,,,
3.0,-1.0,6.0,27.5,,,
3.0,-1.0,7.0,32.4,,,
3.0,-1.0,8.0,28.1,,,
3.0,-1.0,9.0,24.6,,,
3.0,-1.0,10.0,29.7,,,
3.0,0.0,1.0,32.3,,,
3.0,0.0,2.0,31.0,,,
3.0,0.0,3.0,23.9,,,
3.0,0.0,4.0,25.4,,,
3.0,0.0,5.0,29.9,,,
3.0,0.0,6.0,27.1,,,
3.0,0.0,7.0,30.0,,,
3.0,0.0,8.0,35.4,,,
3.0,0.0,9.0,25.3,,,
3.0,0.0,10.0,39.2,,,
