AVFOOD,GSIZE,WEIGHT,AREA
0.3698,2.0,3.933,1.094
0.5314,2.0,5.702,2.05
0.4944,2.0,4.548,2.121
0.4513,2.0,4.309,1.294
0.7437,3.0,5.851,3.784
0.572,3.0,4.793,2.238
0.7387,3.0,5.372,2.752
0.4199,3.0,4.454,1.883
0.6815,3.0,5.614,3.769
0.6507,3.0,4.947,1.734
0.5114,3.0,4.565,2.209
0.9817,7.0,4.083,3.841
0.6024,4.0,3.557,3.018
0.7675,4.0,4.996,3.43
0.7289,4.0,4.558,2.651
0.7221,4.0,4.162,3.542
0.6612,4.0,4.964,2.446
1.2146,8.0,4.091,5.069
0.6832,4.0,4.685,2.59
0.7751,4.0,3.816,3.126
0.783,4.0,4.539,3.557
0.7982,4.0,5.83,3.348
0.6851,4.0,4.399,3.158
0.7136,4.0,4.98,3.042
1.0311,5.0,4.49,3.661
0.7794,5.0,4.29,3.917
0.7939,5.0,3.371,2.886
0.912,6.0,5.045,4.541
0.6716,4.0,4.391,2.754
0.4123,3.0,3.271,1.907
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
