site	eggdate	fledge.binary	fledge.count
Botanic.Gardens	15	Fledged	6
Botanic.Gardens	17	Not.fledged	0
Botanic.Gardens	18	Fledged	7
Botanic.Gardens	18	Fledged	5
Botanic.Gardens	18	Not.fledged	0
Brampton.Wood	18	Fledged	8
Brampton.Wood	18	Fledged	8
Botanic.Gardens	19	Fledged	6
Brampton.Wood	19	Fledged	8
Botanic.Gardens	20	Fledged	4
Botanic.Gardens	21	Not.fledged	0
Botanic.Gardens	22	Fledged	5
Brampton.Wood	22	Fledged	8
Brampton.Wood	22	Fledged	8
Botanic.Gardens	23	Fledged	7
Botanic.Gardens	25	Fledged	6
Brampton.Wood	25	Fledged	9
Brampton.Wood	26	Fledged	4
Brampton.Wood	27	Fledged	8
Brampton.Wood	27	Fledged	8
Brampton.Wood	27	Fledged	8
Brampton.Wood	27	Fledged	10
Brampton.Wood	28	Fledged	8
Brampton.Wood	29	Fledged	6
Brampton.Wood	30	Fledged	7
Brampton.Wood	31	Fledged	10
Brampton.Wood	32	Fledged	9
Botanic.Gardens	6	Not.fledged	0
Botanic.Gardens	10	Fledged	3
Botanic.Gardens	10	Fledged	5
Brampton.Wood	11	Fledged	10
Brampton.Wood	11	Fledged	8
Brampton.Wood	12	Fledged	12
Brampton.Wood	13	Fledged	10
Brampton.Wood	13	Fledged	10
Botanic.Gardens	14	Fledged	6
Brampton.Wood	14	Fledged	7
Brampton.Wood	14	Fledged	9
Brampton.Wood	14	Fledged	9
Brampton.Wood	14	Fledged	11
Botanic.Gardens	15	Fledged	5
Botanic.Gardens	15	Fledged	6
Brampton.Wood	15	Fledged	10
Brampton.Wood	15	Fledged	5
Brampton.Wood	16	Fledged	10
Brampton.Wood	16	Not.fledged	0
Brampton.Wood	16	Fledged	8
Brampton.Wood	17	Fledged	7
Botanic.Gardens	18	Fledged	4
Brampton.Wood	18	Fledged	7
Botanic.Gardens	20	Fledged	5
Botanic.Gardens	20	Fledged	6
Botanic.Gardens	21	Not.fledged	0
Brampton.Wood	21	Fledged	9
Botanic.Gardens	22	Fledged	6
Brampton.Wood	23	Fledged	8
Botanic.Gardens	31	Not.fledged	0
