Density,Distance
0.318,250
0.637,250
0.196,250
0.624,250
0.909,250
0.295,250
0.594,250
0.442,250
1.22,250
1.303,250
0.187,250
1.56,250
0.849,250
2.411,250
1.705,250
1.019,250
0.758,250
0.372,250
0.637,250
1.56,250
0.207,250
0.685,250
0,250
1.303,250
0.898,250
1.157,250
0.97,250
0.624,250
1.592,250
1.019,250
0.829,250
0.884,250
0.318,250
0.524,250
1.404,250
0,250
1.061,250
0.59,250
0.363,250
1.567,250
1.577,250
0.312,250
0.758,250
0.505,250
0.909,250
0.362,250
0.329,250
0.909,250
0.941,800
0.279,800
1.021,800
0.108,800
0.738,800
0.907,800
0.503,800
0.637,800
1.498,800
0.866,800
0.588,800
0.606,800
0.49,800
0.163,800
0.277,800
0.293,800
0.289,800
0.392,800
0.725,800
1.318,800
0.612,800
0.637,800
0.181,800
0.941,800
0.265,800
0.979,800
0.909,800
0.283,800
0.337,800
0.813,800
0,800
0.544,800
0.399,800
0.955,800
0.531,800
0.252,800
1.179,800
0.442,800
0.291,800
0.579,800
0.252,800
0.373,800
0,800
0.463,800
1.248,800
2.01,800
1.213,800
0.808,800
