  "G", "I", "S"
  0,   1,    1
  0,   3,    2
  0,   4,    3
  0,   1,    4
  0,   5,    5
  0,   3,    6
  0,   2,    7
  0,   3,    8
  1,   5,    9
  0,   6,   10
  0,   8,   11
  0,   5,   12
  0,   6,   13
  0,  10,   14
  0,  11,   15
  0,   8,   16
  0,   7,   17
  0,   5,   18
  0,   6,   19
  0,   8,   20
  0,  11,   21
  0,   9,   22
  1,   7,   23
  0,   5,   24
  0,   3,   25
  0,   4,   26
  0,   5,   27
  1,   6,   28
  0,   8,   29
  0,   9,   30
  0,  10,   31
  0,   9,   32
  0,   5,   33
  0,   7,   34
  0,   4,   35
  0,   3,   36
  0,   2,   37
  1,  10,   38
  1,  19,   39
  1,  17,   40
  1,  16,   41
  1,  15,   42
  1,  13,   43
  0,  13,   44
  0,   9,   45
  1,   8,   46
  0,  10,   47
  1,  15,   48
  1,  14,   49
  1,  11,   50
  1,  11,   51
  1,  13,   52
  1,  12,   53
  1,  16,   54
  1,  17,   55
  0,   8,   56
  0,   8,   57
  1,   8,   58
  1,  16,   59
  1,  14,   60
  1,  13,   61
  1,  12,   62
  1,  17,   63
  1,  11,   64
  1,  11,   65
  1,  15,   66
  1,  14,   67
  1,  13,   68
  1,  14,   69
  1,  16,   70
  1,   8,   71
  1,   9,   72
  0,  10,   73
  1,  10,   74
  0,   8,   75
  1,  13,   76
  1,   9,   77
  1,  16,   78
  1,  10,   79
  1,  10,   80
  0,  12,   81
  1,  13,   82
  1,  15,   83
  1,  14,   84
  1,  12,   85
  1,  12,   86
  1,   9,   87
  1,  11,   88
  1,  13,   89
  1,  15,   90
  1,  15,   91
  1,  14,   92
  1,  18,   93
  1,  17,   94
  1,  15,   95
  1,  10,   96
  1,  15,   97
  1,  10,   98
  1,   9,   99
  1,  15,  100
  1,  14,  101
  1,  17,  102
  1,  12,  103
  1,  12,  104
  1,  11,  105
  1,   9,  106
  1,   8,  107
  1,  15,  108
  1,  17,  109
  1,  19,  110
  1,  10,  111
  1,  13,  112
  1,  13,  113
  1,  11,  114
  1,  15,  115
  1,  17,  116
  1,  13,  117
  1,  12,  118
  1,  18,  119
  1,  13,  120
