   "S", "DS", "F"
   1.9,   23.5,   20
   0.0,   25.5,   20
   1.8,   29.5,   20
  11.0,   30.6,   20
   7.7,   35.6,   20
   7.7,   38.5,   20
   3.9,   40.6,   20
   3.9,   44.4,   20
   9.1,   50.6,   20
   6.2,   52.4,   20
   7.7,   59.3,   20
  11.0,   64.6,   20
   8.0,   71.6,   20
  20.0,   73.2,   20
  12.9,   78.6,   20
  16.8,   89.2,   20
  16.1,   89.2,   20
  16.1,   92.4,   20
  18.1,   99.3,   20
   5.2,   23.5,   40
  11.4,   32.3,   40
  11.4,   36.1,   40
  18.1,   37.2,   40
  17.0,   44.4,   40
  20.0,   47.5,   40
  20.9,   51.2,   40
  19.4,   59.3,   40
  25.2,   61.2,   40
  30.3,   71.5,   40
  25.8,   77.2,   40
  34.8,   81.4,   40
  38.1,   91.2,   40
  43.9,   97.4,   40
  35.5,   98.2,   40
  37.4,  102.1,   40
  12.9,   31.6,   80
  21.3,   42.8,   80
  28.4,   47.5,   80
  32.3,   57.4,   80
  34.2,   61.4,   80
  41.9,   69.5,   80
  48.1,   80.0,   80
  46.2,   86.6,   80
  52.9,   89.7,   80
  61.2,  102.3,   80
  56.5,  102.3,   80
  60.4,  111.5,   80
  60.4,  113.2,   80
  10.3,   22.3,  120
  11.4,   29.5,  120
  25.8,   44.4,  120
  35.1,   56.6,  120
  51.9,   71.6,  120
  50.1,   75.6,  120
  59.1,   86.5,  120
  64.3,   91.3,  120
  69.0,   99.5,  120
  73.3,  109.2,  120
  75.1,  115.6,  120
