Weight,Group
16.5,Nem
15,Nem
11.5,Nem
12,Nem
12.5,Nem
9,Nem
16,Nem
6.5,Nem
8,Nem
14.5,Nem
7,Nem
10.5,Nem
16,BtK
14.5,BtK
15,BtK
9,BtK
10.5,BtK
14,BtK
12.5,BtK
9,BtK
9,BtK
9,BtK
6.5,BtK
8.5,BtK
11,Wasps
15,Wasps
9,Wasps
9,Wasps
11.5,Wasps
11,Wasps
9,Wasps
10,Wasps
9,Wasps
8,Wasps
8,Wasps
5,Wasps
8.5,N+W
13,N+W
12,N+W
10,N+W
12.5,N+W
8.5,N+W
9.5,N+W
7,N+W
10.5,N+W
10.5,N+W
13,N+W
9,N+W
13,Control
10.5,Control
11,Control
10,Control
14,Control
12,Control
11,Control
9.5,Control
18.5,Control
17,Control
10,Control
11,Control
