Area,Shaking,Light
264,control,low
200,control,low
225,control,low
268,control,low
215,control,low
241,control,low
232,control,low
256,control,low
229,control,low
288,control,low
253,control,low
288,control,low
230,control,low
235,stress,low
188,stress,low
195,stress,low
205,stress,low
212,stress,low
214,stress,low
182,stress,low
215,stress,low
272,stress,low
163,stress,low
230,stress,low
255,stress,low
202,stress,low
314,control,moderate
320,control,moderate
310,control,moderate
340,control,moderate
299,control,moderate
268,control,moderate
345,control,moderate
271,control,moderate
285,control,moderate
309,control,moderate
337,control,moderate
282,control,moderate
273,control,moderate
283,stress,moderate
312,stress,moderate
291,stress,moderate
259,stress,moderate
216,stress,moderate
201,stress,moderate
267,stress,moderate
326,stress,moderate
241,stress,moderate
291,stress,moderate
269,stress,moderate
282,stress,moderate
257,stress,moderate
