Head,Body,Diet
4.08,53.44,1
3.44,28.07,1
3.9,49.53,1
4.45,61.21,1
4.06,38.94,1
4.23,51.17,1
3.56,22.68,1
3.95,42.72,1
3.79,39.19,1
3.11,20.48,1
2.72,17.96,1
3.34,29.52,1
3.36,28.66,1
3.21,25.44,1
2.35,17.97,1
2.64,13.7,1
3.07,16.78,1
3.31,24.82,1
2.33,14.63,1
4.04,36.1,1
3.34,18.36,1
2.91,21.82,1
3.31,64.89,2
3.4,60.61,2
3.38,57.22,2
2.62,45.25,2
3.15,49.3,2
3.01,51.83,2
3.15,47,2
3.3,61.28,2
3.06,42.37,2
3.61,65.18,2
2.9,29.39,2
2.55,20.86,2
3.08,37.24,2
2.6,32.16,2
2.73,25.8,2
2.54,24.92,2
2.42,23.62,2
2.25,15.01,2
3.27,40.04,2
2.08,18.93,2
4.97,36.19,3
3.53,15.73,3
4.27,27.21,3
4.2,24.03,3
3.33,12.69,3
5.26,42.25,3
4.54,24.84,3
4.19,61.44,3
5.43,66.7,3
4.41,14.13,3
3.2,43.67,3
4.52,37.12,3
5.54,52.31,3
5.02,49.78,3
5,31.32,3
4.71,41.29,3
4.08,17.86,3
3.66,19.34,3
4.3,18.68,3
5.36,48.84,3
5.2,46.05,3
