Puffs,Group
3,Control
1,Control
2,Control
1,Control
2,Control
1,Control
1,Control
1,Control
3,Control
2,Control
2,Control
2,Control
2,Control
1,Control
1,Control
2,Control
3,Control
2,Control
3,Control
1,Control
1,Control
3,Control
2,Control
1,Control
2,Control
2,Control
3,Control
1,Control
3,Control
3,Control
1,Control
2,Control
2,Control
3,Control
2,Control
2,Control
2,Control
1,Control
2,Control
1,Control
4,30min
6,30min
7,30min
3,30min
6,30min
6,30min
3,30min
5,30min
3,30min
4,30min
7,30min
5,30min
5,30min
7,30min
3,30min
7,30min
3,30min
5,30min
4,30min
6,30min
4,30min
6,30min
7,30min
3,30min
8,30min
4,30min
4,30min
5,30min
8,30min
7,30min
6,30min
5,30min
6,30min
3,30min
8,30min
5,30min
4,30min
6,30min
5,30min
5,30min
1,60min
3,60min
5,60min
3,60min
3,60min
3,60min
3,60min
2,60min
3,60min
4,60min
6,60min
4,60min
3,60min
3,60min
3,60min
4,60min
4,60min
2,60min
6,60min
2,60min
5,60min
3,60min
4,60min
4,60min
2,60min
3,60min
5,60min
4,60min
5,60min
2,60min
3,60min
3,60min
2,60min
4,60min
3,60min
5,60min
3,60min
2,60min
5,60min
4,60min
