Height,Sex
68,f
68,f
68,f
66.5,f
61,f
65,f
64,f
65,f
65,f
62,f
67,f
67,f
66,f
66,f
66,f
64,f
64,f
60,f
63,f
66,f
63,f
66,f
65,f
63,f
70,m
75,m
67,m
69,m
72,m
71,m
68,m
69,m
70,m
69,m
74,m
68,m
74,m
68,m
70,m
68,m
70,m
71,m
63.5,f
69,m
66,f
67,f
74,m
67,m
66,f
67,m
62,f
72,m
65,f
67,f
73,m
72,m
62,f
64,f
68,m
62.5,f
73,m
69.5,f
63,f
69,m
63.5,f
65,f
66,f
68,m
70,m
68,f
68.5,f
68,m
72.5,f
67,m
65.5,f
63,f
72,m
64,f
73.8,m
74,m
67,f
64,f
66,m
63,f
60,f
70,f
70,m
72,m
69,m
72,m
63,f
65,f
71,m
65,f
69,m
67,f
63,f
66,f
68,m
68,f
71,f
72,m
63,f
67,f
71,m
66,f
60.5,f
76,m
72,m
64,f
62,f
72,m
64.5,f
70,m
71,m
66,f
72,m
69,m
65,f
64,f
64,f
62.5,f
69,m
63,f
67,m
70,m
71.75,m
60,f
68,f
68,m
70,m
65,f
62,f
70,f
68,f
65,f
65,f
68.5,m
66,f
65,f
67.5,f
63,f
71,m
67,m
68,f
67,m
65,f
69,m
62,f
62,f
62,f
74,m
70,m
70,m
71,m
73.3,m
60,f
63,f
66,f
68,m
65,f
66,m
70,m
70,f
61.5,f
62,f
68,f
63,f
71,m
72.5,m
64,f
67,f
66,f
66,f
68,f
69,m
67,f
66,f
72,m
63,f
70,m
65,m
63,f
66,m
62,f
68,f
66,m
67,f
63,f
72,m
63,f
69,f
64,f
64,f
68,m
64,f
67,f
67,f
64,f
62,f
61,f
66,f
69,f
74,m
65,f
63,f
66,f
63,f
69,m
63,f
62.25,f
76,m
62,f
64,f
65.5,f
72,m
69,m
65,f
62,f
68.5,f
65,f
68,m
69,f
68,m
73,m
69.5,f
61,f
71,f
64,f
67.5,m
69,m
66,m
69,m
65.5,f
60.5,f
69,m
62,f
70,m
67,f
70,f
62,f
68,f
64,f
61,f
62,f
70,f
67,f
62,f
65,f
62,f
64.5,f
68,f
70,f
64.5,f
71,m
64,f
69,f
63,f
64.5,f
67,f
68,m
67,m
67,f
65.25,f
64,m
71,m
69,f
70,m
66,f
66,m
72,m
70,m
63,f
61,f
63,f
66,f
68,m
71,m
60,f
61,f
65,m
67.5,m
65.5,f
64,f
65,f
59,f
66,f
65,f
63,f
69,m
68,f
64,f
60,f
64,f
68,m
63.5,f
64.25,f
62,f
65,f
68,m
64,f
60,f
71,m
74,m
66,f
63,f
63,f
75,m
74,m
66,m
65,f
65,f
66.25,f
63,f
70.5,m
66,m
60.6,f
65,f
65,f
69,m
67.5,f
64,f
62,f
68,f
66,f
68,f
60,f
65,f
73,m
62,f
67,f
68,m
65.75,f
69,m
68,m
59,f
60,f
69,m
64,m
70,m
66,f
69,m
68,f
67,m
76,m
66,f
62.8,*
69,m
68,m
62,f
72.5,m
72,m
69,f
70,f
63,f
70,f
68,f
64,f
72,m
64.8,f
69,m
72,m
71,m
61.5,f
70,m
65,f
64,f
62,f
60.5,f
66,f
63.5,f
65,f
66,f
65,f
68,f
67.5,m
68,f
68,m
65,f
67,f
65,f
71,m
71,m
64,f
65,f
63,f
72,m
61,f
70,m
73.25,m
69,f
63,f
65,f
67,m
64,f
63,f
62,f
66,f
60,f
64,f
69,m
63,f
73,m
72,m
71,m
63,f
65,f
63,f
61,f
69,f
71,m
71,m
64.5,f
70,f
76.5,m
60,f
66,f
67,m
64,f
70,m
68.5,m
64,f
66,f
62,f
60,f
63,f
63,f
74,m
61,f
65,f
71,m
64,f
62,f
60,f
70,m
69.5,m
64,f
71,m
65,f
76,m
66,m
76,m
68,f
61,f
66.5,f
61.75,f
71,f
66,f
64,f
68,f
64,f
67,f
62,f
76,m
64,f
63,f
60,f
62,f
65,f
69,f
69,f
65,f
64,f
68,m
66,m
70,m
63,f
66,f
70,f
65,f
66,m
65,f
67,f
72,m
69,f
67,f
63,f
76,m
64,f
70,m
68,f
64,f
64,f
68,m
71,m
74,m
62,f
64.5,f
70,m
63,f
65,f
63,f
77,m
63,f
66,f
68,m
65,f
67,f
63.5,f
65,f
63,f
67,f
64,f
67,m
68,m
62,f
59,f
67,m
68,f
65,f
