Growth,Treatment
8,darkness
10,darkness
11,darkness
15,darkness
15,darkness
20,darkness
20,darkness
22,darkness
25,darkness
29,darkness
30,darkness
33,darkness
35,darkness
37,darkness
4,12-light/12-dark
9,12-light/12-dark
10,12-light/12-dark
10,12-light/12-dark
11,12-light/12-dark
15,12-light/12-dark
15,12-light/12-dark
20,12-light/12-dark
20,12-light/12-dark
20,12-light/12-dark
21,12-light/12-dark
22,12-light/12-dark
25,12-light/12-dark
27,12-light/12-dark
3,light
5,light
5,light
7,light
7,light
8,light
9,light
10,light
10,light
10,light
10,light
14,light
20,light
21,light
