Length,Site
26,EFP
21.5,EFP
22.1,EFP
27.5,EFP
26.3,EFP
26.7,EFP
26.5,EFP
24.1,EFP
21.9,EFP
21.14,EFP
22,EFP
23.6,EFP
20,EFP
20.9,EFP
24.2,EFP
24.3,EFP
20,EFP
22.6,EFP
21.8,EFP
20.8,EFP
22.5,EFP
20.1,EFP
17.9,EFP
21.6,EFP
22.1,EFP
21.1,EFP
18.7,EFP
17.8,EFP
17.7,EFP
15.7,EFP
27,CUY
29.5,CUY
27.4,CUY
15.5,CUY
26.6,CUY
22.6,CUY
16.8,CUY
17.5,CUY
29.2,CUY
14.7,CUY
29.1,CUY
21,CUY
24.6,CUY
25.2,CUY
23.8,CUY
21.6,CUY
23.2,CUY
21.8,CUY
22.4,CUY
23.1,CUY
26.8,CUY
22.6,CUY
24,CUY
21,CUY
23.3,CUY
21.1,CUY
21.4,CUY
19.5,CUY
22,CUY
22.9,CUY
