"cortisol", "group"
   2.5, 1
   7.2, 1
   8.9, 1
   9.3, 1
   9.9, 1
  10.3, 1
  11.6, 1
  14.8, 1
   4.5, 1
   7.0, 1
   8.5, 1
   9.3, 1
   9.8, 1
  10.3, 1
  11.6, 1
  11.7, 1
   5.4, 2
   7.8, 2
   8.0, 2
   9.3, 2
   9.7, 2
  11.1, 2
  11.6, 2
  12.0, 2
  12.8, 2
  13.1, 2
  15.8, 2
   7.5, 2
   7.9, 2
   7.6, 2
   9.4, 2
   9.6, 2
  11.3, 2
  11.6, 2
  11.8, 2
  12.6, 2
  13.2, 2
  16.3, 2
   8.1, 3
   9.5, 3
   9.8, 3
  12.2, 3
  12.3, 3
  12.5, 3
  13.3, 3
  17.5, 3
  24.3, 3
  10.1, 3
  11.8, 3
   9.8, 3
  12.1, 3
  12.5, 3
  12.5, 3
  13.4, 3
  16.1, 3
  25.2, 3
