# Source
# Cushny, A. R. and Peebles, A. R. (1905) The action of optical isomers: II hyoscines. The Journal of Physiology 32, 501–510.
# Student (1908) The probable error of the mean. Biometrika, 6, 20.

# References
# Scheffé, Henry (1959) The Analysis of Variance. New York, NY: Wiley.

"extra","group","ID"
0.7,"1","1"
-1.6,"1","2"
-0.2,"1","3"
-1.2,"1","4"
-0.1,"1","5"
3.4,"1","6"
3.7,"1","7"
0.8,"1","8"
0,"1","9"
2,"1","10"
1.9,"2","1"
0.8,"2","2"
1.1,"2","3"
0.1,"2","4"
-0.1,"2","5"
4.4,"2","6"
5.5,"2","7"
1.6,"2","8"
4.6,"2","9"
3.4,"2","10"
