group,circumference
1,27.9
1,25.6
1,33.8
1,32.1
1,30.2
1,31.7
1,32.5
1,26.9
1,28.8
1,32.2
1,30.6
1,28.7
1,33.2
1,31.9
1,30.1
1,30.7
1,28.3
1,31.8
1,29.9
1,28.2
1,29.0
1,28.5
1,28.2
1,34.1
1,29.6
2,38.4
2,36.5
2,41.9
2,37.4
2,35.8
2,35.3
2,43.3
2,36.6
2,35.8
2,33.8
2,34.9
2,38.6
2,39.5
2,36.3
2,42.6
2,41.6
2,35.5
2,41.1
2,36.6
2,37.0
2,42.5
2,39.5
2,30.7
2,38.4
2,36.2
2,35.7
2,43.6
2,33.1
2,34.9
2,37.5
3,36.2
3,34.5
3,37.4
3,39.7
3,43.1
3,33.5
3,40.1
3,36.6
3,41.2
3,34.4
3,35.0
3,39.9
3,30.8
3,40.5
3,35.6
3,39.6
3,29.0
3,39.3
3,37.5
3,39.0
3,40.8
3,37.0
