drug_conc,replicate,viability
0,1,97.19762176723894
0,2,98.8491125525836
0,3,107.79354157074562
0,1,100.35254195712288
0,2,100.64643867580473
0,3,108.5753249344164
0,1,102.30458102994601
0,2,93.67469382696733
0,3,96.56573574053238
0,1,97.77169014950022
0,2,106.12040898719731
0,3,101.79906913528681
0,1,102.00385725297026
0,2,100.5534135797256
0,3,97.22079432622962
0,1,108.9345656840154
0,2,102.4892523911462
0,3,90.16691421685181
0,1,103.50677950781842
0,2,97.63604296136033
0,3,94.66088147006577
0,1,98.91012542670852
0,2,94.8699777584638
0,3,96.3555438535443
0,1,96.87480366075371
0,2,91.56653344628793
0,3,104.18893522247262
0,1,100.76686558918257
0,2,94.30931531494026
0,3,106.26907460534963
1,1,94.55878532886088
1,2,90.22957110204638
1,3,97.37075396627013
1,1,97.26880092519825
1,2,96.92948648982492
1,3,96.13184152460055
1,1,95.32350592122553
1,2,91.62852973653968
1,3,90.1642240175605
1,1,89.7171739939257
1,2,87.83175812647693
1,3,90.75249633188241
1,1,84.4076218905904
1,2,105.01373579203107
1,3,99.24777198982994
1,1,85.2613485007799
1,2,89.58269098820554
1,3,89.20006787826068
1,1,96.67979071001791
1,2,91.49978560116902
1,3,93.51991108396852
1,1,91.82871946790779
1,2,91.7427772562521
1,3,100.21161370408674
1,1,90.6453740860444
1,2,101.09882362657724
1,3,82.70748317461867
1,1,95.50768249781642
1,2,92.74312546306768
1,3,93.29564941246383
5,1,78.03711586207906
5,2,70.98141237512559
5,3,72.33434093064464
5,1,66.85139693514328
5,2,66.42567018819538
5,3,77.42822913123406
5,1,78.58567822903541
5,2,75.42403381384403
5,3,82.3781397430379
5,1,91.40067748501716
5,2,71.07175067154772
5,3,56.5266489948735
5,1,83.04590819569805
5,2,69.32639389934086
5,3,69.49593106826114
5,1,83.2045709575736
5,2,72.72181594359193
5,3,65.23425830196372
5,1,76.4504278379932
5,2,73.88886910048764
5,3,75.0461134871991
5,1,78.08224320901064
5,2,72.03471974566072
5,3,80.15501238815067
5,1,73.23610750545
5,2,77.65425571132558
5,3,83.77471210519478
5,1,78.48145192667042
5,2,72.39254731575019
5,3,84.19046094760876
10,1,59.93503855962119
10,2,55.4839695950807
10,3,52.38731735111441
10,1,43.72093923960629
10,2,63.60652448530008
10,3,43.99740412852873
10,1,71.87332993016577
10,2,65.32610626185189
10,3,47.64299640899523
10,1,39.735790996932195
10,2,42.89593436300699
10,3,52.56883709156529
10,1,47.533081215376264
10,2,46.52457400602267
10,3,40.48381432734985
10,1,49.5497227519108
10,2,42.15095530542924
10,3,33.320580634118635
10,1,46.19773479712238
10,2,59.18996609060766
10,3,44.24653037391608
10,1,56.07964322225033
10,2,33.821172917108356
10,3,49.444380344754606
10,1,55.19407203943462
10,2,53.01153362166714
10,3,51.056761941489434
10,1,43.592939916946236
10,2,41.502956539664176
10,3,39.75871209395087
25,1,23.41175916520151
25,2,10.630304629782374
25,3,16.11331067559198
25,1,18.926893693621032
25,2,44.12634406278649
25,3,14.176601179654497
25,1,24.824638867418283
25,2,22.935530194764528
25,3,10.457720390438457
25,1,21.144302966516815
25,2,39.33461030108019
25,3,27.418048636950576
25,1,22.49479506391528
25,2,16.930038011924502
25,3,0
25,1,35.576046560970106
25,2,4.4723191489021374
25,3,30.879370130528013
25,1,44.9092428306098
25,2,4.673282068338409
25,3,30.42141202449653
25,1,18.853630127170383
25,2,3.134270090254148
25,3,3.8239881546189842
25,1,2.781565917104878
25,2,15.629121733956364
25,3,4.458932980049202
25,1,30.25500127570993
25,2,47.20130728630806
25,3,6.555634287577853
