damage,carcinogen,route,tissue
0.7,1,1,1
0.5,1,1,1
0.6,1,1,1
0.5,1,1,1
0.4,1,1,1
0.4,1,1,1
0.4,1,1,1
0.5,1,1,1
1.1,1,1,2
1.2,1,1,2
0.7,1,1,2
1.3,1,1,2
1.3,1,1,2
1.2,1,1,2
1.3,1,1,2
1.3,1,1,2
1.1,1,1,3
1.2,1,1,3
0.7,1,1,3
1.1,1,1,3
1.3,1,1,3
1.2,1,1,3
1.3,1,1,3
1.3,1,1,3
100.9,1,1,4
132.4,1,1,4
106.0,1,1,4
126.8,1,1,4
107.6,1,1,4
83.8,1,1,4
107.0,1,1,4
107.8,1,1,4
1.0,1,2,1
1.4,1,2,1
0.9,1,2,1
1.2,1,2,1
1.2,1,2,1
0.9,1,2,1
1.1,1,2,1
1.4,1,2,1
1.1,1,2,2
0.7,1,2,2
0.8,1,2,2
1.2,1,2,2
1.2,1,2,2
0.9,1,2,2
1.2,1,2,2
1.2,1,2,2
2.3,1,2,3
2.0,1,2,3
1.7,1,2,3
1.5,1,2,3
2.0,1,2,3
1.4,1,2,3
1.9,1,2,3
2.2,1,2,3
4.8,1,2,4
4.1,1,2,4
3.3,1,2,4
4.0,1,2,4
3.5,1,2,4
5.0,1,2,4
5.2,1,2,4
3.7,1,2,4
0.1,1,3,1
0.2,1,3,1
0.2,1,3,1
0.3,1,3,1
0.2,1,3,1
0.3,1,3,1
0.3,1,3,1
0.2,1,3,1
0.3,1,3,2
0.6,1,3,2
0.4,1,3,2
0.5,1,3,2
0.6,1,3,2
0.4,1,3,2
0.5,1,3,2
0.5,1,3,2
1.0,1,3,3
1.1,1,3,3
0.7,1,3,3
0.9,1,3,3
1.1,1,3,3
1.0,1,3,3
1.2,1,3,3
0.6,1,3,3
0.4,1,3,4
0.4,1,3,4
0.3,1,3,4
0.4,1,3,4
0.5,1,3,4
0.5,1,3,4
0.6,1,3,4
0.6,1,3,4
508.9,2,1,1
443.9,2,1,1
502.3,2,1,1
421.8,2,1,1
463.6,2,1,1
519.7,2,1,1
469.9,2,1,1
461.1,2,1,1
24.8,2,1,2
27.0,2,1,2
26.0,2,1,2
29.4,2,1,2
22.9,2,1,2
23.4,2,1,2
22.9,2,1,2
22.0,2,1,2
9.0,2,1,3
10.7,2,1,3
14.1,2,1,3
14.8,2,1,3
11.8,2,1,3
10.7,2,1,3
14.3,2,1,3
16.1,2,1,3
40.3,2,1,4
42.5,2,1,4
41.5,2,1,4
36.8,2,1,4
38.2,2,1,4
43.5,2,1,4
43.1,2,1,4
35.2,2,1,4
172.5,2,2,1
170.3,2,2,1
153.9,2,2,1
161.8,2,2,1
146.7,2,2,1
136.8,2,2,1
146.8,2,2,1
154.7,2,2,1
13.7,2,2,2
15.4,2,2,2
11.3,2,2,2
12.2,2,2,2
14.0,2,2,2
14.4,2,2,2
9.9,2,2,2
16.5,2,2,2
5.1,2,2,3
9.5,2,2,3
6.7,2,2,3
5.0,2,2,3
5.4,2,2,3
7.5,2,2,3
8.0,2,2,3
7.3,2,2,3
1.8,2,2,4
1.8,2,2,4
1.4,2,2,4
1.4,2,2,4
1.4,2,2,4
1.9,2,2,4
1.6,2,2,4
1.7,2,2,4
118.0,2,3,1
116.9,2,3,1
104.1,2,3,1
118.9,2,3,1
107.1,2,3,1
115.0,2,3,1
104.4,2,3,1
113.6,2,3,1
10.9,2,3,2
9.9,2,3,2
11.1,2,3,2
12.2,2,3,2
11.9,2,3,2
12.1,2,3,2
11.4,2,3,2
12.6,2,3,2
2.6,2,3,3
2.0,2,3,3
1.7,2,3,3
2.1,2,3,3
3.9,2,3,3
5.0,2,3,3
3.5,2,3,3
3.9,2,3,3
2.1,2,3,4
1.8,2,3,4
2.1,2,3,4
1.7,2,3,4
2.0,2,3,4
2.0,2,3,4
1.5,2,3,4
1.8,2,3,4
2.0,3,1,1
1.8,3,1,1
1.7,3,1,1
1.8,3,1,1
1.3,3,1,1
1.6,3,1,1
1.7,3,1,1
1.6,3,1,1
0.8,3,1,2
0.6,3,1,2
0.7,3,1,2
0.7,3,1,2
0.8,3,1,2
0.8,3,1,2
0.5,3,1,2
0.8,3,1,2
0.3,3,1,3
0.5,3,1,3
0.3,3,1,3
0.4,3,1,3
0.4,3,1,3
0.5,3,1,3
0.6,3,1,3
0.4,3,1,3
3.1,3,1,4
2.4,3,1,4
2.0,3,1,4
2.0,3,1,4
2.6,3,1,4
2.2,3,1,4
2.7,3,1,4
2.2,3,1,4
4.7,3,2,1
5.2,3,2,1
5.5,3,2,1
3.9,3,2,1
5.3,3,2,1
4.1,3,2,1
4.4,3,2,1
4.2,3,2,1
1.7,3,2,2
1.6,3,2,2
1.6,3,2,2
1.6,3,2,2
1.8,3,2,2
1.7,3,2,2
1.8,3,2,2
1.8,3,2,2
0.5,3,2,3
0.6,3,2,3
0.4,3,2,3
0.4,3,2,3
0.5,3,2,3
0.6,3,2,3
0.4,3,2,3
0.6,3,2,3
0.9,3,2,4
0.7,3,2,4
0.7,3,2,4
0.6,3,2,4
0.6,3,2,4
0.6,3,2,4
0.8,3,2,4
0.8,3,2,4
4.4,3,3,1
4.1,3,3,1
4.8,3,3,1
3.3,3,3,1
4.4,3,3,1
2.8,3,3,1
3.1,3,3,1
4.1,3,3,1
0.6,3,3,2
0.9,3,3,2
0.8,3,3,2
1.0,3,3,2
0.8,3,3,2
0.5,3,3,2
1.0,3,3,2
1.1,3,3,2
0.8,3,3,3
0.9,3,3,3
0.9,3,3,3
1.1,3,3,3
0.8,3,3,3
1.0,3,3,3
1.0,3,3,3
1.0,3,3,3
0.4,3,3,4
0.5,3,3,4
0.3,3,3,4
