Adverts,Sales,Airplay,Image
10.256,330.0,43.0,10.0
985.685,120.0,28.0,7.0
1445.563,360.0,35.0,7.0
1188.193,270.0,33.0,7.0
574.513,220.0,44.0,5.0
568.954,170.0,19.0,5.0
471.814,70.0,20.0,1.0
537.352,210.0,22.0,9.0
514.068,200.0,21.0,7.0
174.093,300.0,40.0,7.0
1720.806,290.0,32.0,7.0
611.479,70.0,20.0,2.0
251.192,150.0,24.0,8.0
97.972,190.0,38.0,6.0
406.814,240.0,24.0,7.0
265.398,100.0,25.0,5.0
1323.287,250.0,35.0,5.0
196.65,210.0,36.0,8.0
1326.598,280.0,27.0,8.0
1380.689,230.0,33.0,8.0
792.345,210.0,33.0,7.0
957.167,230.0,28.0,6.0
1789.659,320.0,30.0,9.0
656.137,210.0,34.0,7.0
613.697,230.0,49.0,7.0
313.362,250.0,40.0,8.0
336.51,60.0,20.0,4.0
1544.899,330.0,42.0,7.0
68.954,150.0,35.0,8.0
785.692,150.0,8.0,6.0
125.628,180.0,49.0,7.0
377.925,80.0,19.0,8.0
217.994,180.0,42.0,6.0
759.862,130.0,6.0,7.0
1163.444,320.0,36.0,6.0
842.957,280.0,32.0,7.0
125.179,200.0,28.0,6.0
236.598,130.0,25.0,8.0
669.811,190.0,34.0,8.0
612.234,150.0,21.0,6.0
922.019,230.0,34.0,7.0
50.0,310.0,63.0,7.0
2000.0,340.0,31.0,7.0
1054.027,240.0,25.0,7.0
385.045,180.0,42.0,7.0
1507.972,220.0,37.0,7.0
102.568,40.0,25.0,8.0
204.568,190.0,26.0,7.0
1170.918,290.0,39.0,7.0
689.547,340.0,46.0,7.0
784.22,250.0,36.0,6.0
405.913,190.0,12.0,4.0
179.778,120.0,2.0,8.0
607.258,230.0,29.0,8.0
1542.329,190.0,33.0,8.0
1112.47,210.0,28.0,7.0
856.985,170.0,10.0,6.0
836.331,310.0,38.0,7.0
236.908,90.0,19.0,4.0
1077.855,140.0,13.0,6.0
579.321,300.0,30.0,7.0
1500.0,340.0,38.0,8.0
731.364,170.0,22.0,8.0
25.689,100.0,23.0,6.0
391.749,200.0,22.0,9.0
233.999,80.0,20.0,7.0
275.7,100.0,18.0,6.0
56.895,70.0,37.0,7.0
255.117,50.0,16.0,8.0
566.501,240.0,32.0,8.0
102.568,160.0,26.0,5.0
250.568,290.0,53.0,9.0
68.594,140.0,28.0,7.0
642.786,210.0,32.0,7.0
1500.0,300.0,24.0,7.0
102.563,230.0,37.0,6.0
756.984,280.0,30.0,8.0
51.229,160.0,19.0,7.0
644.151,200.0,47.0,6.0
15.313,110.0,22.0,5.0
243.237,110.0,10.0,8.0
256.894,70.0,1.0,4.0
22.464,100.0,1.0,6.0
45.689,190.0,39.0,6.0
724.938,70.0,8.0,5.0
1126.461,360.0,38.0,7.0
1985.119,360.0,35.0,5.0
1837.516,300.0,40.0,5.0
135.986,120.0,22.0,7.0
237.703,150.0,27.0,8.0
976.641,220.0,31.0,6.0
1452.689,280.0,19.0,7.0
1600.0,300.0,24.0,9.0
268.598,140.0,1.0,7.0
900.889,290.0,38.0,8.0
982.063,180.0,26.0,6.0
201.356,140.0,11.0,6.0
746.024,210.0,34.0,6.0
1132.877,250.0,55.0,7.0
1000.0,250.0,5.0,7.0
75.896,120.0,34.0,6.0
1351.254,290.0,37.0,9.0
202.705,60.0,13.0,8.0
365.985,140.0,23.0,6.0
305.268,290.0,54.0,6.0
263.268,160.0,18.0,7.0
513.694,100.0,2.0,7.0
152.609,160.0,11.0,6.0
35.987,150.0,30.0,8.0
102.568,140.0,22.0,7.0
215.368,230.0,36.0,6.0
426.784,230.0,37.0,8.0
507.772,30.0,9.0,3.0
233.291,80.0,2.0,7.0
1035.433,190.0,12.0,8.0
102.642,90.0,5.0,9.0
526.142,120.0,14.0,7.0
624.538,150.0,20.0,5.0
912.349,230.0,57.0,6.0
215.994,150.0,19.0,8.0
561.963,210.0,35.0,7.0
474.76,180.0,22.0,5.0
231.523,140.0,16.0,7.0
678.596,360.0,53.0,7.0
70.922,10.0,4.0,6.0
1567.548,240.0,29.0,6.0
263.598,270.0,43.0,7.0
1423.568,290.0,26.0,7.0
715.678,220.0,28.0,7.0
777.237,230.0,37.0,8.0
509.43,220.0,32.0,5.0
964.11,240.0,34.0,7.0
583.627,260.0,30.0,7.0
923.373,170.0,15.0,7.0
344.392,130.0,23.0,7.0
1095.578,270.0,31.0,8.0
100.025,140.0,21.0,5.0
30.425,60.0,28.0,1.0
1080.342,210.0,18.0,7.0
