dim0,bright0,dim2,bright2,dim4,bright4,dim6,bright6
58.0,65.0,65.0,65.0,44.0,50.0,5.0,33.0
67.0,53.0,64.0,64.0,46.0,34.0,33.0,33.0
64.0,74.0,74.0,72.0,40.0,35.0,21.0,63.0
63.0,61.0,57.0,47.0,26.0,56.0,17.0,31.0
48.0,57.0,67.0,61.0,31.0,52.0,17.0,30.0
49.0,78.0,78.0,66.0,59.0,61.0,5.0,30.0
64.0,70.0,53.0,67.0,29.0,46.0,21.0,46.0
83.0,63.0,64.0,77.0,31.0,36.0,6.0,45.0
65.0,71.0,59.0,51.0,46.0,54.0,8.0,38.0
64.0,78.0,64.0,69.0,45.0,58.0,29.0,65.0
64.0,61.0,56.0,65.0,24.0,46.0,32.0,57.0
55.0,47.0,78.0,63.0,53.0,57.0,20.0,47.0
81.0,57.0,81.0,78.0,40.0,45.0,29.0,42.0
58.0,71.0,55.0,62.0,29.0,48.0,42.0,31.0
63.0,58.0,67.0,58.0,35.0,42.0,26.0,32.0
49.0,48.0,71.0,48.0,47.0,67.0,33.0,48.0
52.0,58.0,67.0,66.0,46.0,74.0,12.0,43.0
77.0,65.0,71.0,32.0,14.0,47.0,15.0,27.0
74.0,50.0,68.0,67.0,53.0,47.0,15.0,45.0
73.0,58.0,64.0,68.0,31.0,47.0,23.0,46.0
67.0,67.0,75.0,69.0,40.0,44.0,28.0,44.0
58.0,61.0,68.0,55.0,35.0,66.0,13.0,50.0
82.0,66.0,68.0,61.0,22.0,44.0,43.0,44.0
64.0,68.0,70.0,51.0,44.0,46.0,18.0,33.0
67.0,37.0,55.0,50.0,31.0,49.0,13.0,22.0
81.0,59.0,43.0,45.0,27.0,69.0,30.0,35.0
