DinnerTime,Meow
1.0,10.0
1.0,11.0
1.0,12.0
2.0,9.0
2.0,13.0
3.0,2.0
3.0,3.0
3.0,8.0
3.0,14.0
3.5,12.0
4.0,2.0
4.0,4.0
4.0,5.0
4.0,6.0
4.0,7.0
4.0,8.0
4.0,15.0
4.5,10.0
5.0,2.0
5.0,3.0
5.0,4.0
5.0,5.0
5.0,6.0
5.0,7.0
5.0,8.0
5.0,10.0
5.0,14.0
5.5,10.0
6.0,5.0
6.0,8.0
6.0,14.0
7.0,5.0
7.0,8.0
7.0,12.0
7.0,15.0
8.0,6.0
8.0,9.0
8.0,14.0
9.0,6.0
9.0,10.0
9.0,11.0
9.0,12.0
9.0,13.0
10.0,6.0
10.0,12.0
11.0,5.0
11.0,12.0
12.0,2.0
12.0,5.0
12.0,12.0
13.0,2.0
13.0,3.0
13.0,4.0
13.0,5.0
13.0,12.0
14.0,2.0
14.0,3.0
14.0,4.0
14.0,13.0
15.0,4.0
15.0,5.0
15.0,13.0
16.0,6.0
16.0,13.0
17.0,7.0
17.0,12.0
18.0,8.0
18.0,9.0
18.0,10.0
18.0,11.0
18.0,12.0
19.0,10.0
20.0,9.0
20.0,10.0
21.0,8.0
22.0,8.0
23.0,8.0
24.0,8.0
