familyid,child_age,child_gender,child_warmth,child_anger,mum_pos,mum_neg,chaos,sdq
201.0,58.0,1.0,4.5,4.0,46.0,12.0,2.25,1.3
202.0,58.0,0.0,5.833333333333333,3.0,41.0,11.0,2.0,1.0
203.0,57.0,1.0,6.0,2.0,45.0,10.0,3.583333333333333,1.32
204.0,62.0,1.0,5.166666666666667,4.2,34.0,12.0,2.166666666666667,1.2
205.0,60.0,1.0,6.0,4.666666666666667,39.0,18.0,2.166666666666667,1.4066666666666667
206.0,52.0,0.0,5.333333333333333,5.8,41.0,11.0,2.25,1.04
207.0,67.0,0.0,6.0,4.0,43.0,12.0,2.75,1.38
208.0,61.0,0.0,,,46.0,7.0,,
209.0,64.0,0.0,4.666666666666667,2.6666666666666665,41.0,10.0,1.9166666666666665,1.56
210.0,54.0,1.0,4.4,3.3333333333333335,36.0,15.0,3.1666666666666665,1.16
211.0,64.0,0.0,6.0,4.0,50.0,14.0,2.5,1.3399999999999999
212.0,62.0,1.0,4.0,3.5,33.0,17.0,2.8333333333333335,0.98
213.0,56.0,0.0,,,48.0,14.0,1.9166666666666665,1.1400000000000001
214.0,63.0,0.0,5.2,2.0,41.0,12.0,1.5,1.16
215.0,62.0,0.0,4.0,4.5,44.0,10.0,1.75,1.2000000000000002
216.0,59.0,0.0,6.0,4.2,49.0,8.0,2.833333333333333,1.3399999999999999
217.0,64.0,1.0,4.0,2.6666666666666665,46.0,19.0,2.5,1.4
218.0,56.0,1.0,6.0,4.4,49.0,12.0,2.416666666666667,1.42
219.0,61.0,1.0,5.833333333333333,6.0,43.0,11.0,,
220.0,65.0,1.0,6.0,2.1666666666666665,37.0,10.0,2.416666666666667,1.2000000000000002
221.0,57.0,0.0,4.666666666666667,2.5,41.0,11.0,3.5,1.62
222.0,64.0,0.0,6.0,2.5,34.0,10.0,1.5833333333333335,1.12
223.0,57.0,0.0,5.5,3.6666666666666665,38.0,9.0,2.0,1.34
224.0,61.0,1.0,,,46.0,15.0,,
225.0,64.0,0.0,5.5,2.0,41.0,10.0,1.9166666666666665,1.2200000000000002
226.0,62.0,0.0,,,,,3.5833333333333335,1.2200000000000002
227.0,62.0,0.0,,,,,,
228.0,63.0,1.0,,,42.0,11.0,1.75,1.48
229.0,63.0,0.0,5.0,4.0,40.0,10.0,2.833333333333333,1.1400000000000001
