Code,Revise,Exam,Anxiety,Sex
1.0,4.0,40.0,86.298,1.0
2.0,11.0,65.0,88.716,2.0
3.0,27.0,80.0,70.178,1.0
4.0,53.0,80.0,61.312000000000005,1.0
5.0,4.0,40.0,89.522,1.0
6.0,22.0,70.0,60.506,2.0
7.0,16.0,20.0,81.462,2.0
8.0,21.0,55.0,75.82000000000001,2.0
9.0,25.0,50.0,69.372,2.0
10.0,18.0,40.0,82.268,2.0
11.0,18.0,45.0,79.044,1.0
12.0,16.0,85.0,80.656,1.0
13.0,13.0,70.0,70.178,1.0
14.0,18.0,50.0,75.01400000000001,2.0
15.0,98.0,95.0,34.714,1.0
16.0,1.0,70.0,95.164,1.0
17.0,14.0,95.0,75.82000000000001,1.0
18.0,29.0,95.0,79.044,2.0
19.0,4.0,50.0,91.134,2.0
20.0,23.0,60.0,64.536,1.0
21.0,14.0,80.0,80.656,1.0
22.0,12.0,75.0,77.432,1.0
23.0,22.0,85.0,65.34200000000001,2.0
24.0,84.0,90.0,0.056000000000011596,2.0
25.0,23.0,30.0,71.79,2.0
26.0,26.0,60.0,81.462,2.0
27.0,24.0,75.0,63.730000000000004,1.0
28.0,72.0,75.0,27.460000000000008,2.0
29.0,37.0,27.0,73.402,2.0
30.0,10.0,20.0,89.522,1.0
31.0,3.0,75.0,89.522,2.0
32.0,36.0,90.0,75.01400000000001,2.0
33.0,43.0,60.0,43.580000000000005,1.0
34.0,19.0,30.0,82.268,1.0
35.0,12.0,80.0,79.044,1.0
36.0,9.0,10.0,79.044,2.0
37.0,72.0,85.0,37.132000000000005,1.0
38.0,10.0,7.0,81.462,1.0
39.0,12.0,5.0,83.074,2.0
40.0,30.0,85.0,50.834,1.0
41.0,15.0,20.0,82.268,1.0
42.0,8.0,45.0,78.238,2.0
43.0,34.0,60.0,72.596,1.0
44.0,22.0,70.0,74.208,2.0
45.0,21.0,50.0,75.82000000000001,2.0
46.0,27.0,25.0,70.98400000000001,1.0
47.0,6.0,50.0,97.582,1.0
48.0,18.0,40.0,67.75999999999999,1.0
49.0,8.0,80.0,75.01400000000001,1.0
50.0,19.0,50.0,73.402,2.0
51.0,0.0,35.0,93.552,2.0
52.0,52.0,80.0,58.894000000000005,2.0
53.0,38.0,50.0,53.25200000000001,2.0
54.0,19.0,49.0,84.686,1.0
55.0,23.0,75.0,89.522,2.0
56.0,11.0,25.0,71.79,2.0
57.0,27.0,65.0,82.268,1.0
58.0,17.0,80.0,69.372,1.0
59.0,13.0,50.0,62.118,1.0
60.0,42.0,70.0,68.566,2.0
61.0,4.0,40.0,93.552,1.0
62.0,8.0,80.0,84.686,2.0
63.0,6.0,10.0,82.268,1.0
64.0,11.0,20.0,81.462,2.0
65.0,7.0,40.0,82.268,1.0
66.0,15.0,40.0,91.134,1.0
67.0,4.0,70.0,91.94,2.0
68.0,28.0,52.0,86.298,2.0
69.0,22.0,50.0,72.596,1.0
70.0,29.0,60.0,63.730000000000004,2.0
71.0,2.0,80.0,63.730000000000004,1.0
72.0,16.0,60.0,71.79,2.0
73.0,59.0,65.0,57.282000000000004,1.0
74.0,10.0,15.0,84.686,2.0
75.0,13.0,85.0,84.686,1.0
76.0,8.0,20.0,77.432,2.0
77.0,5.0,80.0,82.268,2.0
78.0,2.0,100.0,10.0,1.0
79.0,38.0,100.0,50.834,2.0
80.0,4.0,80.0,87.91,1.0
81.0,10.0,10.0,83.88,1.0
82.0,6.0,70.0,84.686,2.0
83.0,68.0,100.0,20.206000000000003,2.0
84.0,8.0,70.0,87.104,1.0
85.0,1.0,70.0,83.88,2.0
86.0,14.0,65.0,67.75999999999999,1.0
87.0,42.0,75.0,95.97,2.0
88.0,13.0,85.0,62.118,2.0
89.0,1.0,30.0,84.686,1.0
90.0,3.0,5.0,92.746,1.0
91.0,5.0,10.0,84.686,2.0
92.0,12.0,90.0,83.074,2.0
93.0,19.0,70.0,73.402,1.0
94.0,2.0,20.0,87.91,2.0
95.0,19.0,85.0,71.79,1.0
96.0,11.0,35.0,86.298,1.0
97.0,15.0,30.0,84.686,2.0
98.0,23.0,70.0,75.82000000000001,1.0
99.0,13.0,55.0,70.98400000000001,2.0
100.0,14.0,75.0,78.238,2.0
101.0,1.0,2.0,82.268,1.0
102.0,9.0,40.0,79.044,1.0
103.0,20.0,50.0,91.134,2.0
