Person,Sons,Daughters
Aimee Mullins,0.0,0.0
Alek Wek,0.0,0.0
Alex Rodriguez,0.0,1.0
Ali Landry,0.0,1.0
Alison Deans,,
Amanda Peet,1.0,0.0
Amy Brenneman,1.0,1.0
Amy Holmes,0.0,0.0
Ananda Lewis,0.0,0.0
Andie MacDowell,1.0,2.0
Andre Braugher,2.0,0.0
Andrea Bocelli,2.0,0.0
Andrea Casiraghi,0.0,0.0
Angelina Jolie,0.0,1.0
Ann Curry,1.0,1.0
Anna Kournikova,0.0,0.0
Anne Bancroft,1.0,0.0
Anne Heche,1.0,0.0
Antonio Banderas,0.0,1.0
Arundhati Roy,,
Ashley Judd,0.0,0.0
Ashton Kutcher,0.0,0.0
Babyface,2.0,0.0
Bai Ling,0.0,0.0
Ben Affleck,0.0,1.0
Benjamin Bratt,1.0,1.0
Bernard C. Parks,,
Billy Campbell,0.0,0.0
Blaine Trump,,
Blair Underwood,2.0,1.0
Bo Derek,0.0,0.0
Brad Pitt,0.0,1.0
Brandy (Norwood),0.0,1.0
Brendan Fraser,3.0,0.0
Brian Stokes Mitchell,1.0,0.0
Britney Spears,2.0,0.0
Brooke Shields,0.0,2.0
Bryan White,2.0,0.0
Burt Bacharach,2.0,2.0
Calista Flockhart,0.0,0.0
Cameron Diaz,0.0,0.0
Candice Bergen,0.0,1.0
Cara Oculato,,
Carlos Betancourt,0.0,0.0
Carlos Moya,0.0,0.0
Cate Blanchett,2.0,0.0
Catherine Zeta-Jones,1.0,1.0
Celine Balitran,0.0,0.0
Charlize Theron,0.0,0.0
Chiara Mastroianni,1.0,1.0
Chris Carter,,
Chris O'Donnell,3.0,1.0
Chris Widdell,0.0,0.0
Christina Applegate,0.0,0.0
Christopher Cuomo,1.0,1.0
Cindy Margolis,1.0,2.0
Claire Danes,0.0,0.0
Claudia Schiffer,1.0,1.0
Courteney Cox,0.0,1.0
Cristian De La Fuente,0.0,1.0
Cuba Gooding Jr.,2.0,1.0
Daljit Dhaliwal,,
Danny Seo,0.0,0.0
David Baldacci,1.0,1.0
David Boreanaz,1.0,0.0
David Chokachi,0.0,0.0
David Duchovny,1.0,1.0
David Guterson,3.0,1.0
David James Elliott,1.0,1.0
Deana Carter,1.0,0.0
Debrah Farentino,0.0,2.0
Demi Moore,0.0,3.0
Denzel Washington,2.0,2.0
Derek Jeter,0.0,0.0
Dexter Scott King,0.0,0.0
Drew Barrymore,0.0,0.0
Dylan McDermott,0.0,2.0
Ed Gordon,0.0,1.0
Elizabeth Hurley,1.0,0.0
Elle Macpherson,2.0,0.0
Emma Bunton,0.0,0.0
Emme,0.0,1.0
