TICKNUMB,MUSIC,DAY1,DAY2,DAY3,CHANGE
2111.0,2.0,2.65,1.35,1.61,-1.0399999999999998
2229.0,3.0,0.97,1.41,0.29,-0.6799999999999999
2338.0,4.0,0.84,,,
2384.0,3.0,3.03,,,
2401.0,4.0,0.88,0.08,,
2405.0,3.0,0.85,,,
2467.0,1.0,1.56,,,
2478.0,1.0,3.02,,,
2490.0,3.0,2.29,,,
2504.0,4.0,1.11,0.44,0.55,-0.56
2509.0,4.0,2.17,,,
2510.0,3.0,0.82,0.2,0.47,-0.35
2514.0,2.0,1.41,,,
2515.0,4.0,1.76,1.64,1.58,-0.17999999999999994
2520.0,4.0,1.38,0.02,,
2521.0,3.0,2.79,,,
2529.0,3.0,1.5,,,
2533.0,2.0,1.91,2.05,,
2535.0,2.0,2.32,,,
2538.0,4.0,2.05,,,
2549.0,3.0,2.17,0.7,0.76,-1.41
2551.0,4.0,2.05,,,
2558.0,4.0,1.61,,,
2562.0,4.0,1.66,0.85,,
2565.0,1.0,2.3,,,
2566.0,4.0,2.76,,,
2568.0,3.0,1.44,,,
2586.0,2.0,1.06,,,
2601.0,3.0,3.23,,,
2602.0,1.0,0.97,0.38,0.76,-0.20999999999999996
2604.0,3.0,2.57,0.11,0.02,-2.55
2606.0,3.0,0.26,,,
2609.0,3.0,0.47,,,
2611.0,4.0,1.73,,,
2612.0,4.0,1.94,0.82,1.67,-0.27
2616.0,3.0,1.91,,,
2624.0,4.0,2.08,0.91,0.96,-1.12
2633.0,3.0,1.91,,,
2642.0,4.0,1.42,,,
2644.0,4.0,1.5,,,
2662.0,2.0,0.11,,,
2663.0,3.0,1.67,,,
2664.0,4.0,2.08,,,
2669.0,4.0,2.05,,,
2670.0,2.0,2.0,,,
2675.0,4.0,1.52,,,
2676.0,2.0,1.58,,,
2677.0,1.0,1.28,0.38,0.14,-1.1400000000000001
2681.0,4.0,1.88,,,
2685.0,4.0,1.32,,,
2686.0,4.0,2.09,,,
2687.0,2.0,2.0,,,
2688.0,1.0,2.64,,,
2689.0,4.0,0.85,0.32,0.52,-0.32999999999999996
2692.0,1.0,2.47,0.23,0.38,-2.0900000000000003
2698.0,3.0,1.79,,,
2709.0,1.0,1.64,,,
2710.0,4.0,1.32,,,
2712.0,2.0,2.97,,,
2726.0,2.0,1.44,0.14,,
2727.0,4.0,2.02,,,
2728.0,2.0,1.79,,,
2730.0,4.0,1.34,,,
2731.0,3.0,2.29,1.9,,
2732.0,4.0,1.66,,,
2734.0,4.0,0.6,,,
2735.0,4.0,1.76,0.76,0.29,-1.47
2736.0,4.0,1.5,,,
2737.0,4.0,2.08,0.7,,
2748.0,4.0,1.0,0.55,,
2752.0,2.0,1.73,,,
2756.0,4.0,1.05,0.38,,
2758.0,1.0,2.81,,,
2759.0,4.0,1.52,,,
2768.0,4.0,1.47,,,
2769.0,4.0,2.64,,,
2770.0,2.0,2.2,1.18,,
2771.0,4.0,0.55,0.79,,
2772.0,3.0,2.29,,,
2773.0,1.0,2.0,,,
2775.0,4.0,2.23,,,
2779.0,4.0,2.45,,,
2780.0,3.0,1.2,,,
2783.0,3.0,2.91,2.08,2.11,-0.8000000000000003
2784.0,2.0,1.14,1.0,,
2788.0,4.0,1.88,,,
2789.0,3.0,0.94,,,
2791.0,3.0,1.85,,,
2794.0,3.0,2.58,,,
2796.0,2.0,0.61,,,
2799.0,4.0,0.7,,,
2806.0,2.0,1.38,,,
2807.0,4.0,1.94,,,
2811.0,2.0,2.29,,,
2812.0,1.0,1.59,,,
2813.0,1.0,2.46,,,
2814.0,4.0,1.67,0.14,,
2825.0,3.0,2.02,0.58,0.5,-1.52
2827.0,2.0,1.5,,,
