Person,Sex,Time,Life_Satisfaction
1.0,0.0,0.0,6.0
1.0,0.0,1.0,6.0
1.0,0.0,2.0,5.0
1.0,0.0,3.0,2.0
2.0,1.0,0.0,7.0
2.0,1.0,1.0,7.0
2.0,1.0,2.0,8.0
2.0,1.0,3.0,4.0
3.0,1.0,0.0,4.0
3.0,1.0,1.0,6.0
3.0,1.0,2.0,2.0
3.0,1.0,3.0,2.0
4.0,0.0,0.0,6.0
4.0,0.0,1.0,9.0
4.0,0.0,2.0,4.0
4.0,0.0,3.0,1.0
5.0,0.0,0.0,6.0
5.0,0.0,1.0,7.0
5.0,0.0,2.0,6.0
5.0,0.0,3.0,6.0
6.0,1.0,0.0,5.0
6.0,1.0,1.0,10.0
6.0,1.0,2.0,4.0
6.0,1.0,3.0,2.0
7.0,0.0,0.0,6.0
7.0,0.0,1.0,6.0
7.0,0.0,2.0,4.0
7.0,0.0,3.0,2.0
8.0,0.0,0.0,2.0
8.0,0.0,1.0,5.0
8.0,0.0,2.0,4.0
8.0,0.0,3.0,
9.0,0.0,0.0,10.0
9.0,0.0,1.0,9.0
9.0,0.0,2.0,5.0
9.0,0.0,3.0,6.0
10.0,0.0,0.0,10.0
10.0,0.0,1.0,10.0
10.0,0.0,2.0,10.0
10.0,0.0,3.0,9.0
11.0,0.0,0.0,8.0
11.0,0.0,1.0,8.0
11.0,0.0,2.0,10.0
11.0,0.0,3.0,9.0
12.0,0.0,0.0,6.0
12.0,0.0,1.0,10.0
12.0,0.0,2.0,9.0
12.0,0.0,3.0,9.0
13.0,1.0,0.0,7.0
13.0,1.0,1.0,8.0
13.0,1.0,2.0,9.0
13.0,1.0,3.0,6.0
14.0,0.0,0.0,6.0
14.0,0.0,1.0,7.0
14.0,0.0,2.0,9.0
14.0,0.0,3.0,5.0
15.0,1.0,0.0,9.0
15.0,1.0,1.0,10.0
15.0,1.0,2.0,8.0
15.0,1.0,3.0,6.0
16.0,1.0,0.0,10.0
16.0,1.0,1.0,10.0
16.0,1.0,2.0,8.0
16.0,1.0,3.0,6.0
17.0,1.0,0.0,1.0
17.0,1.0,1.0,2.0
17.0,1.0,2.0,1.0
17.0,1.0,3.0,
18.0,0.0,0.0,5.0
18.0,0.0,1.0,6.0
18.0,0.0,2.0,7.0
18.0,0.0,3.0,3.0
19.0,1.0,0.0,6.0
19.0,1.0,1.0,10.0
19.0,1.0,2.0,10.0
19.0,1.0,3.0,6.0
20.0,0.0,0.0,5.0
20.0,0.0,1.0,6.0
20.0,0.0,2.0,
20.0,0.0,3.0,
21.0,0.0,0.0,3.0
21.0,0.0,1.0,7.0
21.0,0.0,2.0,5.0
21.0,0.0,3.0,6.0
22.0,1.0,0.0,3.0
22.0,1.0,1.0,4.0
22.0,1.0,2.0,4.0
22.0,1.0,3.0,2.0
23.0,0.0,0.0,7.0
23.0,0.0,1.0,6.0
23.0,0.0,2.0,4.0
23.0,0.0,3.0,2.0
24.0,0.0,0.0,3.0
24.0,0.0,1.0,4.0
24.0,0.0,2.0,2.0
24.0,0.0,3.0,
28.0,1.0,0.0,9.0
28.0,1.0,1.0,10.0
28.0,1.0,2.0,8.0
28.0,1.0,3.0,
29.0,1.0,0.0,8.0
29.0,1.0,1.0,10.0
29.0,1.0,2.0,9.0
29.0,1.0,3.0,7.0
30.0,0.0,0.0,8.0
30.0,0.0,1.0,7.0
30.0,0.0,2.0,7.0
30.0,0.0,3.0,3.0
31.0,0.0,0.0,7.0
31.0,0.0,1.0,7.0
31.0,0.0,2.0,6.0
31.0,0.0,3.0,3.0
32.0,0.0,0.0,10.0
32.0,0.0,1.0,8.0
32.0,0.0,2.0,
32.0,0.0,3.0,
33.0,1.0,0.0,7.0
33.0,1.0,1.0,6.0
33.0,1.0,2.0,5.0
33.0,1.0,3.0,3.0
34.0,0.0,0.0,5.0
34.0,0.0,1.0,7.0
34.0,0.0,2.0,7.0
34.0,0.0,3.0,4.0
38.0,0.0,0.0,5.0
38.0,0.0,1.0,7.0
38.0,0.0,2.0,4.0
38.0,0.0,3.0,4.0
39.0,0.0,0.0,7.0
39.0,0.0,1.0,9.0
39.0,0.0,2.0,7.0
39.0,0.0,3.0,6.0
40.0,0.0,0.0,4.0
40.0,0.0,1.0,5.0
40.0,0.0,2.0,5.0
40.0,0.0,3.0,1.0
41.0,1.0,0.0,3.0
41.0,1.0,1.0,4.0
41.0,1.0,2.0,3.0
41.0,1.0,3.0,1.0
44.0,1.0,0.0,4.0
44.0,1.0,1.0,6.0
44.0,1.0,2.0,7.0
44.0,1.0,3.0,3.0
45.0,1.0,0.0,8.0
45.0,1.0,1.0,5.0
45.0,1.0,2.0,4.0
45.0,1.0,3.0,3.0
46.0,0.0,0.0,10.0
46.0,0.0,1.0,4.0
46.0,0.0,2.0,4.0
46.0,0.0,3.0,5.0
47.0,0.0,0.0,10.0
47.0,0.0,1.0,10.0
47.0,0.0,2.0,8.0
47.0,0.0,3.0,6.0
48.0,1.0,0.0,4.0
48.0,1.0,1.0,5.0
48.0,1.0,2.0,4.0
48.0,1.0,3.0,1.0
49.0,0.0,0.0,2.0
49.0,0.0,1.0,4.0
49.0,0.0,2.0,1.0
49.0,0.0,3.0,
50.0,1.0,0.0,10.0
50.0,1.0,1.0,10.0
50.0,1.0,2.0,9.0
50.0,1.0,3.0,7.0
51.0,0.0,0.0,2.0
51.0,0.0,1.0,4.0
51.0,0.0,2.0,4.0
51.0,0.0,3.0,1.0
52.0,1.0,0.0,9.0
52.0,1.0,1.0,10.0
52.0,1.0,2.0,8.0
52.0,1.0,3.0,5.0
53.0,1.0,0.0,9.0
53.0,1.0,1.0,10.0
53.0,1.0,2.0,8.0
53.0,1.0,3.0,5.0
54.0,1.0,0.0,4.0
54.0,1.0,1.0,4.0
54.0,1.0,2.0,3.0
54.0,1.0,3.0,3.0
55.0,0.0,0.0,6.0
55.0,0.0,1.0,10.0
55.0,0.0,2.0,6.0
55.0,0.0,3.0,2.0
56.0,1.0,0.0,9.0
56.0,1.0,1.0,9.0
56.0,1.0,2.0,5.0
56.0,1.0,3.0,4.0
57.0,1.0,0.0,6.0
57.0,1.0,1.0,6.0
57.0,1.0,2.0,7.0
