ID,Strategy,Success_Pre,Success_Post
1.0,1.0,53.0,74.0
2.0,1.0,62.0,67.0
3.0,1.0,52.0,33.0
4.0,1.0,57.0,62.0
5.0,1.0,55.0,44.0
6.0,1.0,52.0,65.0
7.0,1.0,45.0,54.0
8.0,1.0,46.0,86.0
9.0,1.0,49.0,72.0
10.0,1.0,44.0,66.0
11.0,1.0,72.0,78.0
12.0,1.0,55.0,89.0
13.0,1.0,57.0,44.0
14.0,1.0,42.0,79.0
15.0,1.0,48.0,65.0
16.0,1.0,59.0,74.0
17.0,1.0,42.0,59.0
18.0,1.0,36.0,55.0
19.0,1.0,56.0,22.0
20.0,1.0,55.0,70.0
21.0,1.0,49.0,19.0
22.0,1.0,59.0,92.0
23.0,1.0,47.0,79.0
24.0,1.0,62.0,76.0
25.0,1.0,44.0,100.0
26.0,1.0,38.0,84.0
27.0,1.0,61.0,55.0
28.0,1.0,52.0,93.0
29.0,1.0,39.0,51.0
30.0,1.0,47.0,98.0
31.0,1.0,37.0,26.0
32.0,1.0,46.0,44.0
33.0,1.0,53.0,73.0
34.0,1.0,62.0,43.0
35.0,1.0,68.0,73.0
36.0,1.0,62.0,78.0
37.0,1.0,35.0,26.0
38.0,1.0,49.0,76.0
39.0,1.0,45.0,25.0
40.0,1.0,39.0,79.0
41.0,1.0,56.0,78.0
42.0,1.0,58.0,50.0
43.0,1.0,40.0,85.0
44.0,1.0,59.0,76.0
45.0,1.0,58.0,82.0
46.0,1.0,45.0,62.0
47.0,1.0,50.0,92.0
48.0,1.0,50.0,74.0
49.0,1.0,44.0,61.0
50.0,1.0,52.0,82.0
51.0,1.0,43.0,84.0
52.0,1.0,63.0,49.0
53.0,1.0,30.0,77.0
54.0,1.0,43.0,57.0
55.0,1.0,30.0,30.0
56.0,1.0,50.0,31.0
57.0,1.0,55.0,52.0
58.0,1.0,24.0,84.0
59.0,1.0,40.0,82.0
60.0,1.0,59.0,63.0
61.0,1.0,58.0,65.0
62.0,1.0,54.0,34.0
63.0,1.0,52.0,66.0
64.0,1.0,41.0,60.0
65.0,1.0,55.0,82.0
66.0,1.0,51.0,40.0
67.0,1.0,39.0,80.0
68.0,1.0,42.0,72.0
69.0,1.0,52.0,48.0
70.0,1.0,70.0,86.0
71.0,1.0,54.0,65.0
72.0,1.0,62.0,25.0
73.0,1.0,44.0,49.0
74.0,1.0,39.0,54.0
75.0,1.0,49.0,87.0
76.0,1.0,55.0,93.0
77.0,1.0,45.0,25.0
78.0,1.0,60.0,47.0
79.0,1.0,58.0,37.0
80.0,1.0,65.0,61.0
