Partners,PalePink,LightPink,DarkPink,Red
1.0,31.25,37.5,35.75,18.75
0.0,52.5,31.25,40.25,48.75
0.0,61.75,65.375,66.0,57.5
1.0,27.75,29.0,19.0,22.25
1.0,16.25,18.0,16.0,16.25
1.0,36.125,46.625,43.375,35.625
0.0,55.875,56.125,57.5,50.0
1.0,58.375,53.25,56.25,45.75
0.0,54.5,50.25,47.75,49.625
0.0,38.25,42.375,41.875,29.5
0.0,33.0,53.5,60.75,28.0
0.0,35.25,39.0,40.75,31.5
0.0,32.25,34.75,38.0,44.0
0.0,48.25,52.75,50.5,45.75
0.0,32.875,44.875,46.75,28.75
1.0,7.5,9.625,8.25,11.25
1.0,67.25,69.0,66.0,60.75
0.0,22.5,24.0,32.0,20.25
1.0,86.0,89.25,84.75,85.0
0.0,8.5,8.75,8.5,8.25
0.0,62.0,64.0,60.25,55.25
1.0,34.5,33.0,28.5,22.625
1.0,77.0,76.25,81.0,75.5
0.0,17.25,12.5,14.75,11.75
1.0,51.75,53.5,46.75,35.25
0.0,50.75,61.875,52.75,42.75
0.0,46.75,49.25,61.75,53.0
1.0,24.5,23.75,23.5,20.5
0.0,18.25,24.0,20.5,21.5
1.0,46.25,43.0,40.75,46.25
1.0,27.75,40.0,31.5,34.5
1.0,31.25,25.375,19.5,19.875
1.0,27.375,20.875,13.875,18.125
1.0,24.5,25.375,26.875,26.875
1.0,41.75,44.125,40.5,39.5
1.0,14.75,17.875,12.875,9.375
0.0,66.875,79.625,70.75,70.25
1.0,35.375,39.5,33.75,25.625
0.0,48.375,48.875,47.625,40.875
0.0,24.375,19.25,16.25,8.25
