lying,salary,family,work
1.0,25754.0,1.0,3.0
1.0,27059.0,7.0,9.0
1.0,33673.0,5.0,5.0
1.0,24428.0,4.0,2.0
1.0,37358.0,10.0,6.0
1.0,26411.0,10.0,6.0
1.0,48678.0,8.0,4.0
1.0,17938.0,4.0,2.0
1.0,23513.0,8.0,2.0
1.0,31808.0,6.0,3.0
1.0,31151.0,2.0,1.0
1.0,30603.0,6.0,5.0
1.0,16410.0,8.0,4.0
1.0,20804.0,10.0,6.0
2.0,22707.0,7.0,10.0
2.0,21207.0,5.0,4.0
2.0,29285.0,2.0,1.0
2.0,26348.0,4.0,7.0
2.0,35235.0,4.0,4.0
2.0,34859.0,6.0,7.0
2.0,35547.0,2.0,7.0
2.0,34093.0,9.0,9.0
2.0,36970.0,4.0,6.0
2.0,34474.0,3.0,6.0
2.0,26237.0,4.0,2.0
2.0,39589.0,0.0,7.0
2.0,30671.0,4.0,10.0
2.0,25642.0,1.0,7.0
3.0,43751.0,3.0,10.0
3.0,18565.0,3.0,4.0
3.0,41180.0,3.0,9.0
3.0,34595.0,3.0,10.0
3.0,36733.0,1.0,4.0
3.0,46398.0,5.0,6.0
3.0,30307.0,1.0,10.0
3.0,37807.0,6.0,10.0
3.0,28694.0,0.0,7.0
3.0,31573.0,6.0,2.0
3.0,23666.0,1.0,5.0
3.0,40109.0,3.0,6.0
3.0,44866.0,5.0,8.0
3.0,37518.0,5.0,2.0
