Case,Attractiveness,Support,Satisfaction,Gender
1.0,5.57,0.41,36.0,1.0
2.0,4.41,0.01,31.0,1.0
3.0,4.21,0.19,31.0,1.0
4.0,4.58,0.59,35.0,1.0
5.0,4.49,0.34,28.0,1.0
6.0,3.74,-0.09,37.0,1.0
7.0,6.84,0.07,27.0,1.0
8.0,5.7,0.32,42.0,1.0
9.0,4.06,0.02,44.0,1.0
10.0,5.45,0.33,31.0,1.0
11.0,5.91,0.82,25.0,1.0
12.0,5.71,0.22,30.0,1.0
13.0,4.64,0.05,35.0,1.0
14.0,3.4,0.06,36.0,1.0
15.0,4.45,0.19,28.0,1.0
16.0,3.43,0.19,29.0,1.0
17.0,2.77,0.53,35.0,1.0
18.0,5.76,0.02,40.0,1.0
19.0,2.03,0.33,38.0,1.0
20.0,4.98,-0.01,32.0,1.0
21.0,2.01,-0.09,33.0,1.0
22.0,4.97,0.09,40.0,1.0
23.0,4.96,0.39,45.0,1.0
24.0,4.34,0.03,33.0,1.0
25.0,2.99,0.27,37.0,1.0
26.0,2.21,0.1,35.0,1.0
27.0,3.78,0.24,41.0,1.0
28.0,4.86,0.19,31.0,1.0
29.0,3.86,0.67,34.0,1.0
30.0,3.65,-0.29,35.0,1.0
31.0,6.1,0.79,38.0,1.0
32.0,4.67,0.27,34.0,1.0
33.0,5.08,0.3,32.0,1.0
34.0,1.79,0.46,38.0,1.0
35.0,3.51,-0.02,34.0,1.0
36.0,5.22,0.31,40.0,1.0
37.0,4.21,0.11,38.0,1.0
38.0,6.4,0.34,36.0,1.0
39.0,5.03,0.49,33.0,1.0
40.0,4.36,0.24,27.0,1.0
41.0,4.04,0.2,34.0,1.0
42.0,4.99,0.05,23.0,1.0
43.0,5.69,-0.01,33.0,1.0
44.0,5.97,0.45,30.0,1.0
45.0,3.63,0.06,32.0,1.0
46.0,4.89,0.45,33.0,1.0
47.0,3.87,0.25,30.0,1.0
48.0,5.19,0.68,38.0,1.0
49.0,2.89,0.09,27.0,1.0
50.0,3.77,0.34,33.0,1.0
51.0,3.28,0.24,29.0,1.0
52.0,2.12,0.31,37.0,1.0
53.0,4.29,0.46,36.0,1.0
54.0,3.54,0.19,41.0,1.0
55.0,4.35,0.07,33.0,1.0
56.0,3.54,0.34,31.0,1.0
57.0,3.67,0.45,36.0,1.0
58.0,4.51,0.64,33.0,1.0
59.0,3.07,0.23,31.0,1.0
60.0,5.86,0.08,32.0,1.0
61.0,1.97,-0.06,35.0,1.0
62.0,6.87,0.41,31.0,1.0
63.0,5.16,0.39,27.0,1.0
64.0,5.68,0.3,36.0,1.0
65.0,5.17,0.28,37.0,1.0
66.0,4.08,0.11,36.0,1.0
67.0,3.27,0.14,22.0,1.0
68.0,5.12,0.14,35.0,1.0
69.0,2.7,0.03,35.0,1.0
70.0,5.18,0.18,33.0,1.0
71.0,5.66,0.47,40.0,1.0
72.0,5.43,0.4,31.0,1.0
73.0,5.15,0.09,36.0,1.0
74.0,5.28,0.18,23.0,1.0
75.0,5.43,0.21,31.0,1.0
76.0,3.38,0.17,34.0,1.0
77.0,4.49,0.26,45.0,1.0
78.0,4.89,0.22,31.0,1.0
79.0,3.13,0.19,27.0,1.0
80.0,4.09,0.25,41.0,1.0
81.0,5.26,0.35,20.0,1.0
82.0,5.32,0.33,42.0,1.0
83.0,2.83,0.26,32.0,0.0
84.0,2.86,0.07,32.0,0.0
85.0,5.02,0.26,34.0,0.0
86.0,4.42,0.21,34.0,0.0
87.0,4.79,-0.08,35.0,0.0
88.0,4.0,0.24,32.0,0.0
89.0,6.54,-0.08,37.0,0.0
90.0,7.12,-0.05,32.0,0.0
91.0,5.92,-0.12,28.0,0.0
92.0,4.34,0.37,35.0,0.0
93.0,5.49,0.13,34.0,0.0
94.0,4.68,-0.03,33.0,0.0
95.0,1.79,0.07,37.0,0.0
96.0,4.56,0.46,36.0,0.0
97.0,6.24,0.2,29.0,0.0
98.0,6.02,0.22,29.0,0.0
99.0,4.67,0.2,38.0,0.0
100.0,6.81,0.07,29.0,0.0
101.0,5.77,0.04,32.0,0.0
102.0,3.81,0.7,38.0,0.0
103.0,2.8,0.73,27.0,0.0
104.0,2.95,0.38,43.0,0.0
105.0,4.07,0.5,36.0,0.0
106.0,6.85,0.25,31.0,0.0
107.0,5.16,0.39,36.0,0.0
108.0,4.63,-0.01,33.0,0.0
109.0,4.15,0.45,32.0,0.0
110.0,4.06,0.07,33.0,0.0
111.0,4.99,0.28,41.0,0.0
112.0,4.74,0.21,30.0,0.0
113.0,5.25,0.13,31.0,0.0
114.0,4.71,0.27,24.0,0.0
115.0,4.1,0.04,31.0,0.0
116.0,4.03,0.41,34.0,0.0
117.0,3.85,-0.04,32.0,0.0
118.0,4.21,0.47,35.0,0.0
119.0,3.94,0.23,40.0,0.0
120.0,4.8,0.38,30.0,0.0
121.0,6.18,0.14,36.0,0.0
122.0,3.24,0.2,34.0,0.0
123.0,2.86,0.24,38.0,0.0
124.0,3.44,0.02,36.0,0.0
125.0,5.02,0.13,30.0,0.0
126.0,3.27,0.3,33.0,0.0
127.0,2.86,0.09,38.0,0.0
128.0,4.63,0.34,37.0,0.0
129.0,4.98,0.23,28.0,0.0
130.0,5.57,-0.16,32.0,0.0
131.0,3.88,0.22,30.0,0.0
132.0,5.13,0.53,36.0,0.0
133.0,3.4,0.45,37.0,0.0
134.0,5.12,0.1,38.0,0.0
135.0,4.97,0.27,33.0,0.0
136.0,3.79,-0.07,39.0,0.0
137.0,5.2,0.28,35.0,0.0
138.0,2.59,0.48,34.0,0.0
139.0,3.33,0.17,35.0,0.0
140.0,4.34,0.48,28.0,0.0
141.0,4.57,0.04,30.0,0.0
142.0,2.76,0.07,31.0,0.0
143.0,4.11,0.08,29.0,0.0
144.0,2.78,0.31,30.0,0.0
145.0,3.79,0.2,39.0,0.0
146.0,5.74,0.03,43.0,0.0
147.0,5.22,0.41,30.0,0.0
148.0,3.42,0.3,33.0,0.0
149.0,5.36,-0.31,31.0,0.0
150.0,4.15,0.08,33.0,0.0
151.0,2.57,0.25,41.0,0.0
152.0,4.29,0.54,38.0,0.0
153.0,6.14,-0.03,30.0,0.0
154.0,5.07,0.26,33.0,0.0
155.0,5.0,0.07,36.0,0.0
156.0,4.36,-0.1,33.0,0.0
157.0,4.45,0.11,35.0,0.0
158.0,5.79,0.12,28.0,0.0
159.0,3.1,0.9,32.0,0.0
160.0,4.66,0.57,35.0,0.0
161.0,2.81,0.27,39.0,0.0
162.0,4.13,0.32,36.0,0.0
163.0,3.87,0.28,35.0,0.0
164.0,4.62,0.63,33.0,0.0
