ID,Contraceptive,Cyclephase,Tips
51.0,0.0,1.0,100.0
51.0,0.0,0.0,100.0
51.0,0.0,0.0,130.0
51.0,0.0,1.0,150.0
51.0,0.0,2.0,180.0
51.0,0.0,2.0,200.0
51.0,0.0,2.0,200.0
51.0,0.0,0.0,200.0
51.0,0.0,2.0,220.0
51.0,0.0,0.0,250.0
51.0,0.0,,300.0
52.0,1.0,1.0,80.0
52.0,1.0,1.0,100.0
52.0,1.0,1.0,100.0
52.0,1.0,1.0,100.0
52.0,1.0,,100.0
52.0,1.0,1.0,130.0
52.0,1.0,0.0,150.0
52.0,1.0,1.0,190.0
52.0,1.0,0.0,200.0
52.0,1.0,0.0,200.0
52.0,1.0,2.0,220.0
52.0,1.0,2.0,220.0
52.0,1.0,0.0,280.0
52.0,1.0,0.0,280.0
52.0,1.0,2.0,300.0
52.0,1.0,2.0,300.0
52.0,1.0,2.0,300.0
52.0,1.0,2.0,305.0
52.0,1.0,2.0,310.0
52.0,1.0,2.0,390.0
53.0,1.0,0.0,100.0
53.0,1.0,1.0,120.0
53.0,1.0,1.0,180.0
53.0,1.0,1.0,180.0
53.0,1.0,1.0,200.0
53.0,1.0,1.0,200.0
53.0,1.0,0.0,200.0
53.0,1.0,,200.0
53.0,1.0,2.0,230.0
53.0,1.0,0.0,230.0
53.0,1.0,1.0,260.0
53.0,1.0,2.0,280.0
53.0,1.0,2.0,280.0
53.0,1.0,2.0,300.0
53.0,1.0,2.0,300.0
53.0,1.0,2.0,300.0
53.0,1.0,0.0,300.0
53.0,1.0,0.0,300.0
53.0,1.0,0.0,310.0
53.0,1.0,2.0,480.0
53.0,1.0,2.0,550.0
54.0,1.0,1.0,90.0
54.0,1.0,1.0,100.0
54.0,1.0,1.0,100.0
54.0,1.0,0.0,100.0
54.0,1.0,0.0,100.0
54.0,1.0,0.0,100.0
54.0,1.0,,100.0
54.0,1.0,0.0,120.0
54.0,1.0,,150.0
54.0,1.0,2.0,200.0
54.0,1.0,2.0,220.0
54.0,1.0,0.0,220.0
54.0,1.0,0.0,220.0
54.0,1.0,2.0,230.0
54.0,1.0,2.0,250.0
54.0,1.0,,250.0
54.0,1.0,2.0,280.0
54.0,1.0,1.0,280.0
54.0,1.0,2.0,310.0
54.0,1.0,2.0,310.0
54.0,1.0,2.0,410.0
55.0,1.0,1.0,100.0
55.0,1.0,1.0,120.0
55.0,1.0,1.0,120.0
55.0,1.0,2.0,150.0
55.0,1.0,1.0,150.0
55.0,1.0,2.0,200.0
55.0,1.0,1.0,200.0
55.0,1.0,0.0,200.0
55.0,1.0,0.0,200.0
55.0,1.0,0.0,200.0
55.0,1.0,,200.0
55.0,1.0,1.0,220.0
55.0,1.0,0.0,220.0
55.0,1.0,2.0,240.0
55.0,1.0,0.0,280.0
55.0,1.0,1.0,300.0
55.0,1.0,2.0,305.0
55.0,1.0,2.0,310.0
55.0,1.0,0.0,310.0
55.0,1.0,0.0,320.0
55.0,1.0,,350.0
55.0,1.0,,380.0
