PSWQ,Anxious,Previous,Scored
18.0,21.0,56.0,1.0
17.0,32.0,35.0,1.0
16.0,34.0,35.0,1.0
14.0,40.0,15.0,1.0
5.0,24.0,47.0,1.0
1.0,15.0,67.0,1.0
4.0,10.0,75.0,1.0
12.0,19.0,53.0,1.0
11.0,29.0,35.0,1.0
15.0,14.0,65.0,1.0
23.0,5.0,85.0,1.0
11.0,6.0,86.0,1.0
14.0,34.0,23.0,1.0
22.0,27.0,46.0,1.0
12.0,26.0,46.0,1.0
5.0,16.0,67.0,1.0
6.0,14.0,67.0,1.0
4.0,5.0,84.0,1.0
7.0,10.0,74.0,1.0
8.0,13.0,64.0,1.0
12.0,19.0,55.0,1.0
14.0,26.0,46.0,1.0
13.0,27.0,43.0,1.0
1.0,29.0,35.0,1.0
7.0,30.0,35.0,1.0
10.0,31.0,33.0,1.0
15.0,26.0,45.0,1.0
16.0,28.0,35.0,1.0
18.0,10.0,74.0,1.0
17.0,8.0,76.0,1.0
14.0,12.0,75.0,1.0
20.0,24.0,44.0,1.0
18.0,23.0,47.0,1.0
2.0,16.0,65.0,1.0
6.0,14.0,66.0,1.0
4.0,19.0,55.0,1.0
4.0,18.0,56.0,1.0
2.0,17.0,64.0,1.0
4.0,20.0,53.0,1.0
1.0,23.0,47.0,1.0
20.0,26.0,45.0,0.0
25.0,29.0,35.0,0.0
16.0,21.0,55.0,0.0
18.0,34.0,24.0,0.0
17.0,38.0,15.0,0.0
29.0,39.0,15.0,0.0
24.0,46.0,4.0,0.0
25.0,49.0,1.0,0.0
22.0,47.0,1.0,0.0
26.0,42.0,5.0,0.0
23.0,41.0,16.0,0.0
25.0,40.0,18.0,0.0
28.0,35.0,24.0,0.0
18.0,36.0,23.0,0.0
17.0,31.0,34.0,0.0
14.0,35.0,24.0,0.0
15.0,42.0,16.0,0.0
11.0,20.0,56.0,0.0
10.0,24.0,42.0,0.0
15.0,19.0,56.0,0.0
14.0,18.0,56.0,0.0
16.0,34.0,24.0,0.0
17.0,35.0,24.0,0.0
25.0,36.0,26.0,0.0
24.0,32.0,33.0,0.0
17.0,35.0,24.0,0.0
27.0,39.0,16.0,0.0
28.0,38.0,15.0,0.0
27.0,41.0,14.0,0.0
25.0,42.0,14.0,0.0
26.0,45.0,8.0,0.0
22.0,48.0,1.0,0.0
28.0,49.0,1.0,0.0
28.0,46.0,4.0,0.0
24.0,26.0,45.0,0.0
