Time,Sex,Recode
41.0,1.0,0.0
40.0,0.0,1.0
40.0,1.0,0.0
38.0,1.0,0.0
34.0,1.0,0.0
46.0,0.0,1.0
42.0,1.0,0.0
42.0,1.0,0.0
47.0,1.0,0.0
42.0,0.0,1.0
45.0,1.0,0.0
46.0,1.0,0.0
44.0,1.0,0.0
54.0,0.0,1.0
57.0,1.0,0.0
51.0,1.0,0.0
51.0,0.0,1.0
50.0,1.0,0.0
53.0,1.0,0.0
53.0,1.0,0.0
45.0,0.0,1.0
46.0,1.0,0.0
36.0,1.0,0.0
34.0,0.0,1.0
31.0,0.0,1.0
50.0,1.0,0.0
51.0,0.0,1.0
54.0,0.0,1.0
52.0,0.0,1.0
54.0,0.0,1.0
54.0,1.0,0.0
52.0,1.0,0.0
35.0,0.0,1.0
32.0,0.0,1.0
40.0,0.0,1.0
40.0,1.0,0.0
52.0,1.0,0.0
47.0,1.0,0.0
52.0,0.0,1.0
52.0,0.0,1.0
52.0,0.0,1.0
51.0,1.0,0.0
51.0,1.0,0.0
45.0,1.0,0.0
43.0,1.0,0.0
48.0,1.0,0.0
32.0,0.0,1.0
33.0,0.0,1.0
32.0,0.0,1.0
33.0,0.0,1.0
33.0,0.0,1.0
34.0,0.0,1.0
33.0,0.0,1.0
34.0,0.0,1.0
35.0,0.0,1.0
35.0,0.0,1.0
35.0,0.0,1.0
34.0,0.0,1.0
34.0,0.0,1.0
40.0,0.0,1.0
