exam,computer,lectures,numeracy,uni
18.0,54.0,75.0,7.0,0.0
30.0,47.0,8.5,1.0,0.0
40.0,58.0,69.5,6.0,0.0
30.0,37.0,67.0,6.0,0.0
40.0,53.0,44.5,2.0,0.0
15.0,48.0,76.5,8.0,0.0
36.0,49.0,70.0,3.0,0.0
40.0,49.0,18.5,7.0,0.0
63.0,45.0,43.5,4.0,0.0
31.0,62.0,100.0,6.0,0.0
22.0,67.0,48.0,3.0,0.0
47.0,62.0,10.5,3.0,0.0
38.0,38.0,57.49999999999999,1.0,0.0
34.0,37.0,61.5,8.0,0.0
54.0,54.0,54.0,4.0,0.0
35.0,48.0,71.0,5.0,0.0
33.0,48.0,14.000000000000002,9.0,0.0
38.0,42.0,55.50000000000001,3.0,0.0
29.0,57.0,72.5,2.0,0.0
36.0,55.0,38.0,4.0,0.0
59.0,41.0,40.0,1.0,0.0
31.0,42.0,85.5,4.0,0.0
34.0,48.0,52.0,4.0,0.0
28.0,44.0,8.0,3.0,0.0
50.0,42.0,62.5,6.0,0.0
59.0,42.0,70.5,3.0,0.0
33.0,40.0,98.0,4.0,0.0
57.0,52.0,34.5,2.0,0.0
25.0,56.0,62.5,3.0,0.0
53.0,54.0,91.5,2.0,0.0
65.0,52.0,97.5,7.0,0.0
47.0,55.0,31.5,2.0,0.0
28.0,61.0,80.5,7.0,0.0
43.0,56.0,66.5,4.0,0.0
47.0,52.0,57.49999999999999,2.0,0.0
60.0,49.0,67.0,4.0,0.0
45.0,43.0,48.5,4.0,0.0
22.0,51.0,61.0,4.0,0.0
39.0,49.0,76.0,3.0,0.0
43.0,56.0,30.5,2.0,0.0
66.0,41.0,45.0,2.0,0.0
36.0,67.0,21.5,4.0,0.0
26.0,35.0,72.5,5.0,0.0
58.0,49.0,66.0,8.0,0.0
53.0,62.0,90.5,6.0,0.0
37.0,66.0,48.5,4.0,0.0
48.0,48.0,62.0,3.0,0.0
32.0,46.0,49.0,1.0,0.0
42.0,46.0,60.0,5.0,0.0
34.0,58.0,21.0,5.0,0.0
56.0,30.0,84.5,7.0,1.0
76.0,48.0,51.0,8.0,1.0
72.0,54.0,58.5,5.0,1.0
77.0,44.0,42.0,6.0,1.0
77.0,54.0,65.5,9.0,1.0
66.0,58.0,56.00000000000001,7.0,1.0
62.0,59.0,71.5,2.0,1.0
86.0,54.0,48.5,5.0,1.0
97.0,35.0,84.5,5.0,1.0
72.0,56.0,47.5,2.0,1.0
69.0,53.0,54.0,3.0,1.0
87.0,56.0,70.5,6.0,1.0
88.0,65.0,73.0,5.0,1.0
72.0,50.0,79.0,12.0,1.0
75.0,39.0,82.5,8.0,1.0
74.0,40.0,74.5,3.0,1.0
68.0,50.0,85.0,2.0,1.0
81.0,57.0,69.5,10.0,1.0
77.0,39.0,42.0,7.0,1.0
71.0,41.0,43.0,8.0,1.0
60.0,48.0,46.5,6.0,1.0
74.0,46.0,36.5,8.0,1.0
80.0,54.0,72.5,4.0,1.0
68.0,55.0,62.0,4.0,1.0
64.0,27.0,81.5,5.0,1.0
94.0,57.0,100.0,13.0,1.0
65.0,73.0,27.0,14.0,1.0
72.0,54.0,59.5,2.0,1.0
75.0,54.0,75.0,3.0,1.0
92.0,50.0,34.0,2.0,1.0
89.0,56.0,78.0,4.0,1.0
83.0,57.0,80.5,5.0,1.0
80.0,54.0,84.0,2.0,1.0
95.0,55.0,37.5,4.0,1.0
99.0,54.0,56.99999999999999,3.0,1.0
80.0,52.0,66.0,8.0,1.0
81.0,67.0,59.0,10.0,1.0
75.0,44.0,68.5,5.0,1.0
78.0,57.0,88.5,3.0,1.0
65.0,54.0,55.00000000000001,8.0,1.0
80.0,51.0,86.0,5.0,1.0
86.0,55.0,68.5,10.0,1.0
73.0,51.0,64.0,7.0,1.0
81.0,45.0,12.5,1.0,1.0
69.0,59.0,52.5,7.0,1.0
60.0,43.0,37.0,5.0,1.0
69.0,57.0,46.0,2.0,1.0
71.0,50.0,97.5,2.0,1.0
82.0,50.0,70.5,4.0,1.0
58.0,47.0,78.0,3.0,1.0
