Relationship,Age,Distractor_Colour,Gender,Distractor_Neutral,Distractor_Emotional,Distractor_Sexual,Target_Neutral,Target_Emotional,Target_Sexual
0.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
0.0,22.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0
0.0,22.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
0.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0
0.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
0.0,27.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0
0.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
0.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
0.0,25.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
0.0,21.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0
0.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0
0.0,28.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0
1.0,20.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,29.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
1.0,22.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
1.0,30.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0
1.0,25.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0
1.0,26.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
1.0,21.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
1.0,26.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0
1.0,34.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0
1.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
1.0,21.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0
1.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,21.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0
1.0,28.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0
1.0,24.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1.0,28.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0
1.0,19.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
1.0,22.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0
1.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0
1.0,26.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0
1.0,20.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0
1.0,28.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
1.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,29.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
1.0,28.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0
0.0,21.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0
0.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,22.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0
0.0,20.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0
0.0,26.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0
0.0,20.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0
0.0,26.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0
0.0,23.0,0.0,2.0,0.0,2.0,3.0,0.0,4.0,1.0
0.0,21.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0
0.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0
0.0,24.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0
