Extroversion,Agreeableness,Instrument
38.0,31.0,1.0
38.0,27.0,1.0
39.0,32.0,1.0
35.0,39.0,1.0
35.0,46.0,1.0
37.0,28.0,1.0
36.0,33.0,1.0
38.0,58.0,1.0
39.0,33.0,1.0
38.0,25.0,1.0
39.0,33.0,1.0
41.0,37.0,1.0
38.0,45.0,1.0
35.0,37.0,1.0
35.0,23.0,1.0
36.0,,1.0
41.0,33.0,1.0
35.0,38.0,1.0
34.0,43.0,1.0
34.0,45.0,1.0
34.0,30.0,1.0
39.0,47.0,1.0
43.0,28.0,1.0
35.0,43.0,1.0
34.0,47.0,1.0
34.0,44.0,1.0
37.0,47.0,1.0
36.0,21.0,1.0
38.0,,1.0
36.0,41.0,1.0
35.0,43.0,1.0
36.0,45.0,1.0
38.0,45.0,1.0
34.0,49.0,1.0
35.0,49.0,1.0
43.0,49.0,1.0
37.0,41.0,1.0
35.0,43.0,1.0
34.0,44.0,1.0
35.0,46.0,1.0
35.0,46.0,1.0
35.0,49.0,1.0
41.0,36.0,1.0
35.0,39.0,1.0
42.0,46.0,1.0
34.0,47.0,1.0
35.0,47.0,1.0
42.0,49.0,1.0
36.0,30.0,1.0
36.0,54.0,1.0
36.0,41.0,1.0
39.0,42.0,1.0
34.0,44.0,1.0
36.0,45.0,1.0
36.0,48.0,1.0
34.0,49.0,1.0
38.0,49.0,1.0
38.0,30.0,1.0
41.0,32.0,1.0
41.0,31.0,1.0
35.0,29.0,1.0
43.0,22.0,1.0
37.0,21.0,1.0
37.0,40.0,1.0
38.0,41.0,1.0
43.0,44.0,1.0
36.0,30.0,1.0
44.0,31.0,1.0
45.0,35.0,1.0
36.0,15.0,1.0
36.0,16.0,1.0
39.0,44.0,1.0
34.0,45.0,1.0
34.0,46.0,1.0
34.0,50.0,1.0
34.0,30.0,1.0
37.0,26.0,1.0
52.0,24.0,1.0
65.0,22.0,1.0
42.0,51.0,1.0
37.0,55.0,1.0
46.0,37.0,1.0
34.0,38.0,1.0
38.0,30.0,1.0
42.0,50.0,1.0
38.0,56.0,1.0
36.0,30.0,1.0
37.0,21.0,1.0
35.0,54.0,1.0
45.0,55.0,1.0
38.0,49.0,1.0
41.0,35.0,1.0
34.0,46.0,1.0
35.0,47.0,1.0
37.0,23.0,1.0
38.0,25.0,1.0
36.0,30.0,1.0
36.0,30.0,1.0
38.0,26.0,1.0
38.0,25.0,1.0
35.0,61.0,1.0
39.0,25.0,1.0
40.0,58.0,1.0
38.0,30.0,1.0
35.0,22.0,1.0
41.0,34.0,1.0
38.0,45.0,1.0
38.0,47.0,1.0
34.0,55.0,2.0
40.0,63.0,2.0
26.0,,2.0
30.0,41.0,2.0
13.0,42.0,2.0
24.0,43.0,2.0
30.0,43.0,2.0
26.0,45.0,2.0
26.0,45.0,2.0
26.0,45.0,2.0
25.0,48.0,2.0
33.0,48.0,2.0
29.0,49.0,2.0
26.0,50.0,2.0
33.0,50.0,2.0
30.0,51.0,2.0
31.0,55.0,2.0
29.0,58.0,2.0
29.0,58.0,2.0
18.0,67.0,2.0
33.0,34.0,2.0
28.0,43.0,2.0
28.0,46.0,2.0
32.0,46.0,2.0
19.0,48.0,2.0
33.0,48.0,2.0
28.0,49.0,2.0
33.0,54.0,2.0
29.0,56.0,2.0
25.0,57.0,2.0
32.0,57.0,2.0
32.0,57.0,2.0
30.0,43.0,2.0
24.0,44.0,2.0
32.0,45.0,2.0
26.0,46.0,2.0
31.0,46.0,2.0
30.0,47.0,2.0
30.0,47.0,2.0
31.0,47.0,2.0
32.0,49.0,2.0
28.0,50.0,2.0
32.0,50.0,2.0
30.0,51.0,2.0
20.0,53.0,2.0
27.0,53.0,2.0
23.0,54.0,2.0
33.0,57.0,2.0
24.0,46.0,2.0
32.0,46.0,2.0
29.0,50.0,2.0
33.0,50.0,2.0
27.0,51.0,2.0
33.0,56.0,2.0
25.0,39.0,2.0
16.0,51.0,2.0
26.0,51.0,2.0
17.0,54.0,2.0
27.0,60.0,2.0
27.0,60.0,2.0
32.0,44.0,2.0
17.0,47.0,2.0
30.0,51.0,2.0
31.0,51.0,2.0
24.0,54.0,2.0
28.0,54.0,2.0
24.0,55.0,2.0
24.0,57.0,2.0
36.0,61.0,2.0
37.0,62.0,2.0
30.0,37.0,2.0
23.0,50.0,2.0
27.0,55.0,2.0
27.0,55.0,2.0
31.0,55.0,2.0
30.0,56.0,2.0
32.0,41.0,2.0
31.0,43.0,2.0
33.0,50.0,2.0
33.0,53.0,2.0
31.0,58.0,2.0
19.0,59.0,2.0
33.0,51.0,2.0
19.0,54.0,2.0
31.0,57.0,2.0
34.0,60.0,2.0
35.0,61.0,2.0
38.0,62.0,2.0
29.0,59.0,2.0
26.0,52.0,2.0
11.0,58.0,2.0
23.0,60.0,2.0
