Groups,Paired,Egg_Percent,Duration,Latency,Efficiency
1.0,1.0,50.0,46.0,12.0,22.22
1.0,1.0,71.42857143,33.0,15.0,22.22
1.0,1.0,80.0,55.0,16.0,14.29
1.0,1.0,50.0,46.0,17.0,12.5
1.0,1.0,0.0,40.0,15.0,16.67
1.0,1.0,40.0,30.0,10.0,18.18
1.0,1.0,50.0,30.0,15.0,12.5
1.0,1.0,70.0,33.0,12.0,12.5
1.0,1.0,0.0,38.0,10.0,18.18
1.0,1.0,44.44444444,45.0,12.0,16.67
1.0,1.0,50.0,58.0,16.0,18.18
1.0,1.0,60.0,44.0,12.0,16.67
1.0,1.0,75.0,42.0,12.0,18.18
1.0,1.0,40.0,46.0,16.0,12.5
1.0,1.0,40.0,44.0,14.0,14.29
1.0,1.0,100.0,45.0,15.0,12.5
1.0,1.0,40.0,66.0,16.0,11.11
2.0,1.0,40.0,30.0,7.0,28.57
2.0,1.0,40.0,30.0,5.0,25.0
2.0,1.0,50.0,28.0,2.0,25.0
2.0,1.0,0.0,30.0,6.0,22.22
2.0,1.0,20.0,42.0,6.0,28.57
2.0,1.0,40.0,33.0,4.0,20.0
2.0,1.0,30.0,40.0,4.0,25.0
2.0,1.0,44.44444444,32.0,7.0,20.0
2.0,1.0,44.44444444,32.0,5.0,25.0
2.0,1.0,40.0,29.0,2.0,18.18
2.0,1.0,40.0,30.0,3.0,4.35
2.0,1.0,20.0,26.0,4.0,25.0
2.0,1.0,0.0,36.0,6.0,20.0
2.0,1.0,30.0,37.0,7.0,25.0
2.0,1.0,40.0,40.0,5.0,25.0
3.0,2.0,50.0,20.0,30.0,12.5
3.0,2.0,0.0,15.0,15.0,16.67
3.0,2.0,40.0,12.0,15.0,18.18
3.0,2.0,50.0,20.0,33.0,18.18
3.0,2.0,30.0,15.0,40.0,12.5
3.0,2.0,0.0,9.0,42.0,18.18
3.0,2.0,40.0,8.0,23.0,16.67
3.0,2.0,40.0,20.0,41.0,18.18
3.0,2.0,37.5,10.0,50.0,33.33
3.0,2.0,50.0,8.0,12.0,11.11
3.0,2.0,0.0,9.0,13.0,12.5
3.0,2.0,0.0,25.0,12.0,14.29
3.0,2.0,0.0,20.0,19.0,12.5
3.0,2.0,30.0,10.0,15.0,11.11
3.0,2.0,0.0,5.0,8.0,28.57
3.0,2.0,30.0,25.0,5.0,20.0
3.0,2.0,20.0,6.0,6.0,18.18
3.0,2.0,30.0,20.0,25.0,12.5
3.0,2.0,0.0,12.0,12.0,18.18
3.0,2.0,62.5,10.0,51.0,18.18
3.0,2.0,40.0,6.0,12.0,0.0
3.0,2.0,50.0,4.0,23.0,33.33
3.0,2.0,33.33333333,25.0,35.0,11.11
3.0,2.0,0.0,12.0,12.0,12.5
3.0,2.0,0.0,8.0,14.0,14.29
3.0,2.0,40.0,15.0,15.0,11.11
3.0,2.0,50.0,25.0,41.0,25.0
