DAY,SUCROSE,LEUCINE,DENSITY
1.0,1.0,1.0,24700000.0
1.0,1.0,2.0,38100000.0
1.0,1.0,3.0,305000000.0
1.0,2.0,1.0,12200000.0
1.0,2.0,2.0,89300000.0
1.0,2.0,3.0,1540000000.0
1.0,3.0,1.0,23400000.0
1.0,3.0,2.0,958000000.0
1.0,3.0,3.0,6360000000.0
1.0,4.0,1.0,500000000.0
1.0,4.0,2.0,968000000.0
1.0,4.0,3.0,2520000000.0
2.0,1.0,1.0,91300000.0
2.0,1.0,2.0,133000000.0
2.0,1.0,3.0,62900000.0
2.0,2.0,1.0,168000000.0
2.0,2.0,2.0,356000000.0
2.0,2.0,3.0,2850000000.0
2.0,3.0,1.0,330000000.0
2.0,3.0,2.0,937000000.0
2.0,3.0,3.0,6920000000.0
2.0,4.0,1.0,365000000.0
2.0,4.0,2.0,1160000000.0
2.0,4.0,3.0,8720000000.0
3.0,1.0,1.0,2880000.0
3.0,1.0,2.0,16500000.0
3.0,1.0,3.0,151000000.0
3.0,2.0,1.0,32200000.0
3.0,2.0,2.0,262000000.0
3.0,2.0,3.0,380000000.0
3.0,3.0,1.0,300000000.0
3.0,3.0,2.0,6680000000.0
3.0,3.0,3.0,3590000000.0
3.0,4.0,1.0,505000000.0
3.0,4.0,2.0,925000000.0
3.0,4.0,3.0,17000000000.0
4.0,1.0,1.0,783000.0
4.0,1.0,2.0,29000000.0
4.0,1.0,3.0,225000000.0
4.0,2.0,1.0,3140000.0
4.0,2.0,2.0,52300000.0
4.0,2.0,3.0,2880000000.0
4.0,3.0,1.0,950000000.0
4.0,3.0,2.0,287000000.0
4.0,3.0,3.0,2310000000.0
4.0,4.0,1.0,3050000000.0
4.0,4.0,2.0,470000000.0
4.0,4.0,3.0,13200000000.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
