TREATMNT,PLANT,DENSITY
1.0,1.0,87.0
1.0,1.0,106.1
1.0,1.0,63.7
1.0,1.0,60.1
1.0,1.0,66.1
1.0,1.0,37.9
1.0,1.0,101.4
1.0,1.0,12.3
1.0,1.0,74.7
1.0,1.0,54.7
1.0,2.0,77.5
1.0,2.0,79.4
1.0,2.0,87.9
1.0,2.0,105.0
1.0,2.0,98.6
1.0,2.0,85.5
1.0,2.0,60.9
1.0,2.0,57.1
1.0,2.0,83.4
1.0,2.0,117.3
1.0,3.0,84.5
1.0,3.0,132.3
1.0,3.0,127.1
1.0,3.0,107.8
1.0,3.0,118.2
1.0,3.0,79.9
1.0,3.0,142.9
1.0,3.0,96.4
1.0,3.0,107.2
1.0,3.0,49.5
2.0,4.0,94.3
2.0,4.0,116.0
2.0,4.0,93.4
2.0,4.0,85.1
2.0,4.0,62.0
2.0,4.0,95.6
2.0,4.0,104.6
2.0,4.0,86.1
2.0,4.0,80.5
2.0,4.0,68.1
2.0,5.0,139.5
2.0,5.0,147.5
2.0,5.0,125.0
2.0,5.0,103.0
2.0,5.0,128.1
2.0,5.0,104.6
2.0,5.0,106.5
2.0,5.0,126.4
2.0,5.0,118.9
2.0,5.0,86.8
2.0,6.0,134.4
2.0,6.0,151.8
2.0,6.0,104.0
2.0,6.0,120.0
2.0,6.0,119.5
2.0,6.0,62.4
2.0,6.0,142.7
2.0,6.0,117.6
2.0,6.0,156.1
2.0,6.0,138.6
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
