YIELD,BLOCK,BEAN,MYIELD,MBLOCK,MBEAN
9.0,1.0,6.0,9.0,1.0,6.0
14.6,1.0,4.0,14.6,1.0,4.0
18.3,1.0,3.0,18.3,1.0,3.0
14.1,1.0,5.0,14.1,1.0,5.0
21.9,1.0,2.0,21.9,1.0,2.0
22.4,1.0,1.0,22.4,1.0,1.0
14.2,2.0,5.0,14.2,2.0,5.0
14.1,2.0,6.0,14.1,2.0,6.0
17.4,2.0,3.0,17.4,2.0,3.0
25.6,2.0,2.0,25.6,2.0,2.0
23.9,2.0,1.0,23.9,2.0,1.0
19.2,2.0,4.0,19.2,2.0,4.0
12.7,3.0,3.0,12.7,3.0,3.0
15.8,3.0,4.0,15.8,3.0,4.0
11.5,3.0,5.0,11.5,3.0,5.0
21.1,3.0,1.0,21.1,3.0,1.0
23.7,3.0,2.0,23.7,3.0,2.0
6.4,3.0,6.0,6.4,3.0,6.0
12.1,4.0,5.0,12.1,4.0,5.0
16.1,4.0,4.0,16.1,4.0,4.0
15.9,4.0,3.0,15.9,4.0,3.0
19.6,4.0,1.0,19.6,4.0,1.0
12.3,4.0,6.0,,,
18.3,4.0,2.0,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
