SQBLOOMS,BED,WATER,SHADE,SQ2,B2,W2,S2
4.359,1.0,1.0,1.0,4.359,1.0,1.0,1.0
3.317,1.0,1.0,2.0,3.317,1.0,1.0,2.0
3.606,1.0,1.0,3.0,3.606,1.0,1.0,3.0
4.123,1.0,1.0,4.0,4.123,1.0,1.0,4.0
4.472,1.0,2.0,1.0,4.472,1.0,2.0,1.0
4.583,1.0,2.0,2.0,4.583,1.0,2.0,2.0
4.359,1.0,2.0,3.0,4.359,1.0,2.0,3.0
4.69,1.0,2.0,4.0,4.69,1.0,2.0,4.0
4.123,1.0,3.0,1.0,4.123,1.0,3.0,1.0
4.123,1.0,3.0,2.0,4.123,1.0,3.0,2.0
3.464,1.0,3.0,3.0,3.464,1.0,3.0,3.0
3.873,1.0,3.0,4.0,3.606,2.0,1.0,1.0
3.606,2.0,1.0,1.0,4.0,2.0,1.0,2.0
4.0,2.0,1.0,2.0,3.464,2.0,1.0,3.0
3.464,2.0,1.0,3.0,3.873,2.0,1.0,4.0
3.873,2.0,1.0,4.0,4.69,2.0,2.0,1.0
4.69,2.0,2.0,1.0,5.0,2.0,2.0,2.0
5.0,2.0,2.0,2.0,5.385,2.0,2.0,3.0
5.385,2.0,2.0,3.0,4.583,2.0,2.0,4.0
4.583,2.0,2.0,4.0,4.69,2.0,3.0,1.0
4.69,2.0,3.0,1.0,4.69,2.0,3.0,3.0
4.69,2.0,3.0,2.0,4.69,2.0,3.0,2.0
4.69,2.0,3.0,3.0,4.243,2.0,3.0,4.0
4.243,2.0,3.0,4.0,3.317,3.0,1.0,1.0
3.317,3.0,1.0,1.0,3.317,3.0,1.0,3.0
3.606,3.0,1.0,2.0,2.828,3.0,1.0,4.0
3.317,3.0,1.0,3.0,3.873,3.0,2.0,1.0
2.828,3.0,1.0,4.0,5.0,3.0,2.0,2.0
3.873,3.0,2.0,1.0,3.742,3.0,2.0,3.0
5.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0
3.742,3.0,2.0,3.0,4.583,3.0,3.0,2.0
2.449,3.0,2.0,4.0,3.162,3.0,3.0,3.0
4.0,3.0,3.0,1.0,3.162,3.0,3.0,4.0
4.583,3.0,3.0,2.0,,,,
3.162,3.0,3.0,3.0,,,,
3.162,3.0,3.0,4.0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
