BLOCK,TRMNT,NCOT
1.0,1.0,8.0
2.0,1.0,18.0
3.0,1.0,10.0
4.0,1.0,25.0
5.0,1.0,12.0
6.0,1.0,10.0
1.0,2.0,6.0
2.0,2.0,15.0
3.0,2.0,8.0
4.0,2.0,27.0
5.0,2.0,8.0
6.0,2.0,11.0
1.0,3.0,6.0
2.0,3.0,12.0
3.0,3.0,5.0
4.0,3.0,23.0
5.0,3.0,8.0
6.0,3.0,6.0
1.0,4.0,5.0
2.0,4.0,10.0
3.0,4.0,2.0
4.0,4.0,20.0
5.0,4.0,3.0
6.0,4.0,4.0
1.0,5.0,17.0
2.0,5.0,30.0
3.0,5.0,20.0
4.0,5.0,48.0
5.0,5.0,25.0
6.0,5.0,15.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
