SIRE,DAM,WGAIN
1.0,1.0,0.671
1.0,1.0,0.875
1.0,2.0,1.948
1.0,2.0,1.668
2.0,1.0,0.797
2.0,1.0,0.954
2.0,2.0,0.927
2.0,2.0,1.098
3.0,1.0,1.301
3.0,1.0,1.844
3.0,2.0,1.413
3.0,2.0,1.426
4.0,1.0,0.938
4.0,1.0,0.49
4.0,2.0,0.604
4.0,2.0,1.478
5.0,1.0,1.298
5.0,1.0,0.855
5.0,2.0,1.415
5.0,2.0,1.262
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
